Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.9442670501,25921.026051998,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,,,,,,
Afghanistan,117.409690795,187.8450949554,198.7285435523,219.1413527855,250.2941299095,272.5630770181,369.8357959698,373.3611163,445.8932979237,553.3002893831,603.5370230624,669.009050888,638.6125432128,629.3452503438,569.5779229158,561.7787462695,
Angola,526.1687429969,711.1817159535,779.4683055987,1041.0868439286,1443.9919285637,2062.4151494258,2878.8371439308,3868.5788828975,3347.8448503364,3529.0534817376,4299.0128887792,4598.2499876544,4804.6168835472,4709.3120236738,3695.7937481466,3308.7002329849,
Albania,1326.9703392981,1453.6427765718,1890.6815573351,2416.5882350519,2709.1429306139,3005.0129033185,3603.0136853664,4370.5396465315,4114.1365449095,4094.3588319192,4437.1780684361,4247.6143082625,4413.081696706,4578.6667275326,3934.8953941316,4124.9823904287,
Andorra,22228.8464928922,24741.4935704562,32776.4422698769,38503.4796144857,41282.0201219785,43748.7721588999,48582.8084550866,47785.6590856793,43339.3798746543,39736.3540626699,41098.7669417228,38391.0808669785,40619.7112977795,42294.9947269717,36038.2676044596,36988.6220301891,
Arab World,2495.3663120425,2462.7914416246,2721.6280569958,3117.6608060124,3745.7909299172,4336.7185834118,4937.5982177301,6115.517780579,5158.2085170652,5917.5743077876,6855.5272866435,7343.1213179666,7439.3794008152,7452.0404840742,6435.5255087583,6162.3472723692,
United Arab Emirates,31061.5293454235,31311.3593562152,33230.5231807291,36161.1706068291,39439.8019679284,42372.2216623658,42672.6132294857,45758.9055356627,33072.5751663719,35049.1483168035,40462.3120889984,42112.2356474253,43350.6426809366,44449.7403485595,39101.7468895974,37622.2074564244,
Argentina,7170.6946736519,2579.1931682121,3330.4370058355,4251.5743481987,5076.8838291729,5878.7610273521,7193.6176397352,8953.3592752628,8161.3069664865,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13467.1023570022,12440.3209818055,
Armenia,694.4305119323,783.26160987,930.1661567015,1191.9619199071,1643.7585429815,2158.0029089546,3138.8087034125,4010.0269972269,2993.8325310903,3218.3816548847,3526.9781426766,3684.8048103265,3843.5912130934,3994.7123547957,3617.9357455518,3614.6883569981,
American Samoa,,8751.7665287497,8914.5254326167,8639.3088552916,8508.4069149836,8456.9479965899,8980.5364143481,9871.9971944591,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307,
Antigua and Barbuda,9414.1605912201,9443.0635905653,9801.966934687,10419.3111321775,11452.7387771176,12812.7644376195,14350.918887831,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658,
Australia,19517.8416767171,20081.817625797,23465.3855857164,30472.3797728289,34016.7148304822,36118.2838130869,40991.9828858155,49664.6850434485,42742.9989811703,51874.0804819957,62245.100292102,67635.3155532647,67708.6892863784,62099.6144131172,56408.3404284049,49755.315480305,
Austria,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50719.3882770685,51733.4819170733,44255.5833562366,44757.6348988008,
Azerbaijan,703.6838434327,763.0730858471,883.6439965472,1045.02162987,1578.402390296,2473.0857763684,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7496.3357279968,7875.7569525429,7891.2997755885,5500.3103824441,3878.7092573664,
Burundi,133.7427689265,122.4335892964,112.8493702922,127.4296648033,150.5070433688,165.8794175614,170.7999004718,196.2472628314,204.9446501898,231.1943256492,260.4799073382,265.2856051313,282.7555252082,312.748979387,300.676556924,285.7274420647,
Belgium,23121.6011440246,25052.3393900855,30743.9025377208,35589.6891168402,36967.2591839688,38852.3729277437,44403.7668991523,48424.5755963147,44880.5730196227,44380.1766327308,47702.8118941685,44740.5832481477,46582.6695503412,47379.1739168858,40375.3886393001,41271.4821478247,
Benin,378.7360539764,418.6985763471,519.2922846612,583.4093514307,601.7999769589,625.8300919765,706.0535419007,820.1513498193,793.4524300307,757.6959074094,825.9427853632,837.9505000754,915.2674585964,943.6865750314,783.9470909524,789.4404106856,
Burkina Faso,235.4912324362,260.7635413197,332.3443050656,371.323086483,406.9988070606,422.6332373602,475.1100121845,569.7612784202,552.7455521064,575.4464526877,666.8404100555,673.8228182266,699.7815370165,703.8216564617,575.3144541763,627.1030787533,
Bangladesh,402.5981151516,400.6135745334,432.7388972408,460.7579167304,484.155407058,494.0501465765,541.0651483951,615.7775410531,681.120536769,757.6717571769,835.7893401274,856.3428570274,951.8894534563,1084.5654298027,1210.1587693976,1358.7790288454,
Bulgaria,1764.9073865327,2087.5348425058,2710.4680235732,3381.5078365613,3893.6899804991,4513.1362795438,5932.8996765932,7261.7544920028,6969.5585566836,6843.2632888532,7813.8034994617,7378.0255394416,7674.8605591403,7853.3351908622,6993.4773597573,7469.025246802,
Bahrain,12868.2109970281,13102.3345682658,14221.9925934886,15846.4764093173,17959.1785373542,19307.9954920205,20977.1105261075,23067.5653465171,19356.6723557874,20722.1038895508,22512.1596038712,23649.3666139101,24737.1717830704,24983.3790153356,22688.8782442968,22579.0934203237,
"Bahamas, The",21497.5209065268,22506.3511419764,22009.2004332596,21996.4064912596,23405.4530158026,23719.1078819641,24301.2432520857,23652.3305303491,22037.1080100097,21921.5590634977,21523.9737238384,28815.527404385,28303.4672887287,28374.3579411203,29056.0906632751,28785.4776705382,
Bosnia and Herzegovina,1524.4120215233,1761.5376471886,2214.7322459187,2650.6426607979,2968.4118061197,3404.3216977157,4180.2921762581,5078.3145772091,4701.3344264135,4614.8290411405,5054.3253442376,4722.0134030673,5042.5822130461,5204.2437184117,4584.2425478176,4808.4054251477,
Belarus,1244.3731852343,1479.3831415112,1819.525644123,2378.3392066022,3126.0717666525,3848.2159664874,4735.4848267369,6377.3697320123,5176.2638299699,6029.3967998293,6519.2301949889,6940.1592535974,7978.8726147108,8318.5126899268,5949.1063069975,4989.4277630498,
Belize,3419.2757192608,3556.561825435,3679.9095232787,3831.5380185375,3933.332215464,4187.3780296959,4324.8764271616,4470.220795976,4258.7886114376,4344.1501766125,4516.2467496172,4673.6384804322,4688.5384434353,4852.2236660279,4849.9974950458,4744.7363974776,
Bermuda,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,,,,
Bolivia,958.2366524089,913.5756422723,917.3643104862,978.3346484819,1046.4273841432,1233.5944354379,1389.634888005,1736.9350510229,1776.8664756219,1981.1607045044,2377.6759179413,2645.2277526015,2947.9385262805,3124.0003098252,3077.0261991716,3104.956089141,
Brazil,3146.9501765492,2819.6495307119,3059.5875818904,3623.0476672932,4770.1827462882,5860.1459753466,7313.5579615595,8787.6103749883,8553.3804700727,11224.1540829355,13167.4728917533,12291.4668523291,12216.9044643396,12026.6173095243,8757.2062022872,8649.9484917506,
Barbados,11513.9368638824,11675.3475419739,12028.4803385025,12868.7873273012,14223.2554405147,15439.9921465683,16381.4955640051,16613.7192186615,15922.9001328689,15959.0297922874,16610.4183520372,16536.2146421152,16326.9134788626,16261.7993189477,16129.0492827663,15891.6265491446,
Brunei Darussalam,16468.1288626009,16846.0219841083,18555.5664851075,21896.6052658777,26102.1334542119,30980.9669198566,32672.3671711068,37951.2805959782,27965.4750379503,35268.1011703581,47017.0273004715,47651.2590896413,44597.279681535,41530.6689792581,30967.890506377,26939.4175086523,
Bhutan,807.9387672687,885.6382245309,997.7417140733,1097.457087621,1247.061391609,1335.456905886,1741.142551689,1795.1813072028,1770.2344965917,2178.9213830797,2458.0459761545,2422.0080157783,2350.8828892447,2504.7174065594,2615.3102200784,2773.5471353022,
Botswana,3128.0977926045,3055.6183824715,4163.0659057845,4896.5838348113,5351.2537317165,5374.5548669078,5714.0479369416,5623.3795661359,5185.7298453814,6346.1562038735,7645.2146115132,7029.2314502403,7007.6257859018,7497.7623776357,6532.0446774913,6924.1497754805,
Central African Republic,243.1586486292,253.7068342826,286.250801904,313.2105980447,323.9805112399,347.6073677663,397.1480466633,456.8614333977,449.9601839092,446.4434493752,494.3306778865,486.4101139662,337.4849613983,377.1320274197,348.3814170337,382.2131743177,
Canada,23691.5947188738,24167.8043060561,28172.1488309084,31979.8719510723,36189.5883840265,40386.6994835116,44544.5268004039,46596.3359912609,40773.4543637445,47447.4760241936,52082.2107601003,52496.6948704709,52418.3150618347,50453.5153505288,43335.1591057924,42183.2950995784,
Central Europe and the Baltics,4345.386038753,4925.5619771493,5946.8037997424,7166.6913559317,8349.3784793181,9468.1317364541,11961.7482792727,14498.3177737833,12214.3641192329,12567.1283124459,13888.4531656534,13001.8229587829,13714.8356929145,14139.2694251838,12450.1334230983,12740.4683450167,
Switzerland,38538.9900530944,41376.3939853959,48087.5831393144,53340.147655778,54952.6737181498,57579.5019538092,63555.2374995504,72487.8459296849,69927.4687701171,74605.7210207051,88415.6280609527,83538.2300783858,85112.4643984141,86605.5633762421,82016.0213129432,79887.5182392741,
Channel Islands,41610.1305834392,44159.2107722825,48226.396676878,55844.1166944098,57210.7322855894,62261.8280114141,73569.644964552,,,,,,,,,,
