This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP 	 Date of Information
1 	 World 	 $   49,000,000,000,000 	 2002 est.
2 	 United States 	 $   10,450,000,000,000 	 2002 est.
3 	 China 	 $    5,989,000,000,000 	 2002 est.
4 	 Japan 	 $    3,651,000,000,000 	 2002 est.
5 	 India 	 $    2,664,000,000,000 	 2002 est.
6 	 Germany 	 $    2,160,000,000,000 	 2002 est.
7 	 France 	 $    1,558,000,000,000 	 2002 est.
8 	 United Kingdom 	 $    1,528,000,000,000 	 2002 est.
9 	 Italy 	 $    1,455,000,000,000 	 2002 est.
10 	 Russia 	 $    1,409,000,000,000 	 2002 est.
11 	 Brazil 	 $    1,376,000,000,000 	 2002 est.
12 	 Korea, South 	 $     941,500,000,000 	 2002 est.
13 	 Canada 	 $     934,100,000,000 	 2002 est.
14 	 Mexico 	 $     924,400,000,000 	 2002 est.
15 	 Spain 	 $     850,700,000,000 	 2002 est.
16 	 Indonesia 	 $     714,200,000,000 	 2002 est.
17 	 Australia 	 $     525,500,000,000 	 2002 est.
18 	 Turkey 	 $     489,700,000,000 	 2002 est.
19 	 Iran 	 $     458,300,000,000 	 2002 est.
20 	 Thailand 	 $     445,800,000,000 	 2002 est.
21 	 Netherlands 	 $     437,800,000,000 	 2002 est.
22 	 South Africa 	 $     427,700,000,000 	 2002 est.
23 	 Taiwan 	 $     406,000,000,000 	 2002 est.
24 	 Argentina 	 $     403,800,000,000 	 2002 est.
25 	 Philippines 	 $     379,700,000,000 	 2002 est.
26 	 Poland 	 $     373,200,000,000 	 2002 est.
27 	 Belgium 	 $     299,700,000,000 	 2002 est.
28 	 Pakistan 	 $     295,300,000,000 	 2002 est.
29 	 Egypt 	 $     289,800,000,000 	 2002 est.
30 	 Saudi Arabia 	 $     268,900,000,000 	 2002 est.
31 	 Colombia 	 $     251,600,000,000 	 2002 est.
32 	 Bangladesh 	 $     238,200,000,000 	 2002 est.
33 	 Switzerland 	 $     233,400,000,000 	 2002 est.
34 	 Sweden 	 $     230,700,000,000 	 2002 est.
35 	 Austria 	 $     227,700,000,000 	 2002 est.
36 	 Ukraine 	 $     218,000,000,000 	 2002 est.
37 	 Greece 	 $     203,300,000,000 	 2002 est.
38 	 Hong Kong 	 $     198,500,000,000 	 2002 est.
39 	 Malaysia 	 $     198,400,000,000 	 2002 est.
40 	 Portugal 	 $     195,200,000,000 	 2002 est.
41 	 Vietnam 	 $     183,800,000,000 	 2002 est.
42 	 Algeria 	 $     173,800,000,000 	 2002 est.
43 	 Romania 	 $     169,300,000,000 	 2002 est.
44 	 Czech Republic 	 $     157,100,000,000 	 2002 est.
45 	 Chile 	 $     156,100,000,000 	 2002 est.
46 	 Denmark 	 $     155,300,000,000 	 2002 est.
47 	 Norway 	 $     149,100,000,000 	 2002 est.
48 	 Peru 	 $     138,800,000,000 	 2002 est.
49 	 Hungary 	 $     134,000,000,000 	 2002 est.
50 	 Finland 	 $     133,800,000,000 	 2002 est.
51 	 Venezuela 	 $     131,700,000,000 	 2002 est.
52 	 Morocco 	 $     121,800,000,000 	 2002 est.
53 	 Kazakhstan 	 $     120,000,000,000 	 2002 est.
54 	 Israel 	 $     117,400,000,000 	 2002 est.
55 	 Ireland 	 $     113,700,000,000 	 2002 est.
56 	 Nigeria 	 $     112,500,000,000 	 2002 est.
57 	 Singapore 	 $     112,400,000,000 	 2002 est.
58 	 Belarus 	 $      90,190,000,000 	 2002 est.
59 	 New Zealand 	 $      78,400,000,000 	 2002 est.
60 	 Sri Lanka 	 $      73,700,000,000 	 2002 est.
61 	 Burma 	 $      73,690,000,000 	 2002 est.
62 	 Slovakia 	 $      67,340,000,000 	 2002 est.
63 	 Tunisia 	 $      67,130,000,000 	 2002 est.
64 	 Uzbekistan 	 $      66,060,000,000 	 2002 est.
65 	 Syria 	 $      63,480,000,000 	 2002 est.
66 	 Iraq 	 $      58,000,000,000 	 2002 est.
67 	 United Arab Emirates 	 $      53,970,000,000 	 2002 est.
68 	 Dominican Republic 	 $      53,780,000,000 	 2002 est.
