This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
1 	 World 	  14,850,000,000,000 	 2001 est.
2 	 United States 	   3,719,000,000,000 	 2001
3 	 China 	   1,420,000,000,000 	 2001
4 	 Japan 	   1,037,000,000,000 	 2001
5 	 Russia 	    846,500,000,000 	 2001
6 	 Canada 	    566,300,000,000 	 2001
7 	 Germany 	    544,800,000,000 	 2001
8 	 India 	    533,300,000,000 	 2001
9 	 France 	    520,100,000,000 	 2001
10 	 United Kingdom 	    360,900,000,000 	 2001
11 	 Brazil 	    321,200,000,000 	 2001
12 	 Korea, South 	    290,700,000,000 	 2001
13 	 Italy 	    258,800,000,000 	 2001
14 	 Spain 	    222,500,000,000 	 2001
15 	 Mexico 	    198,600,000,000 	 2001
16 	 Australia 	    198,200,000,000 	 2001
17 	 South Africa 	    195,600,000,000 	 2001
18 	 Ukraine 	    164,700,000,000 	 2001
19 	 Sweden 	    152,900,000,000 	 2001
20 	 Taiwan 	    151,100,000,000 	 2001
21 	 Poland 	    135,000,000,000 	 2001
22 	 Iran 	    124,600,000,000 	 2001
23 	 Saudi Arabia 	    122,400,000,000 	 2001
24 	 Norway 	    120,100,000,000 	 2001
25 	 Turkey 	    116,600,000,000 	 2001
26 	 Thailand 	     97,600,000,000 	 2001
27 	 Argentina 	     97,170,000,000 	 2001
28 	 Indonesia 	     95,780,000,000 	 2001
29 	 Netherlands 	     88,320,000,000 	 2001
30 	 Venezuela 	     87,600,000,000 	 2001
31 	 Ecuador 	     75,230,000,000 	 2001
32 	 Egypt 	     75,230,000,000 	 2001
33 	 Belgium 	     74,280,000,000 	 2001
34 	 Finland 	     71,200,000,000 	 2001
35 	 Czech Republic 	     70,040,000,000 	 2001
36 	 Switzerland 	     68,680,000,000 	 2001
37 	 Malaysia 	     68,340,000,000 	 2001
38 	 Pakistan 	     66,960,000,000 	 2001
39 	 Austria 	     58,750,000,000 	 2001
40 	 Kazakhstan 	     52,430,000,000 	 2001
41 	 Romania 	     50,860,000,000 	 2001
42 	 Greece 	     49,790,000,000 	 2001
43 	 Philippines 	     45,210,000,000 	 2001
44 	 Paraguay 	     44,890,000,000 	 2001
45 	 Uzbekistan 	     44,490,000,000 	 2001
46 	 Portugal 	     44,320,000,000 	 2001
47 	 Colombia 	     42,990,000,000 	 2001
48 	 Israel 	     42,240,000,000 	 2001
49 	 Chile 	     41,660,000,000 	 2001
50 	 Bulgaria 	     41,380,000,000 	 2001
51 	 United Arab Emirates 	     37,740,000,000 	 2001
52 	 New Zealand 	     37,510,000,000 	 2001
53 	 Iraq 	     36,010,000,000 	 2001
54 	 Denmark 	     35,470,000,000 	 2001
55 	 Hungary 	     34,390,000,000 	 2001
56 	 Serbia and Montenegro 	     31,710,000,000 	 2001
57 	 Kuwait 	     31,490,000,000 	 2001
58 	 Hong Kong 	     30,480,000,000 	 2001
59 	 Singapore 	     30,480,000,000 	 2001
60 	 Slovakia 	     30,290,000,000 	 2001
61 	 Korea, North 	     30,010,000,000 	 2001
62 	 Vietnam 	     29,800,000,000 	 2001
63 	 Algeria 	     24,690,000,000 	 2001
64 	 Belarus 	     24,400,000,000 	 2001
65 	 Ireland 	     23,530,000,000 	 2001
66 	 Syria 	     23,260,000,000 	 2001
67 	 Puerto Rico 	     20,900,000,000 	 2001
68 	 Peru 	     20,590,000,000 	 2001
69 	 Libya 	     20,180,000,000 	 2001
70 	 Azerbaijan 	     18,230,000,000 	 2001
71 	 Nigeria 	     15,670,000,000 	 2001
72 	 Bangladesh 	     15,330,000,000 	 2001
73 	 Lithuania 	     14,620,000,000 	 2001
74 	 Cuba 	     14,380,000,000 	 2001
75 	 Tajikistan 	     14,180,000,000 	 2001
76 	 Slovenia 	     13,690,000,000 	 2001
77 	 Kyrgyzstan 	     13,450,000,000 	 2001
78 	 Morocco 	     13,350,000,000 	 2001
79 	 Croatia 	     12,120,000,000 	 2001
80 	 Tunisia 	     10,480,000,000 	 2001
81 	 Turkmenistan 	     10,180,000,000 	 2001
82 	 Bosnia and Herzegovina 	      9,979,000,000 	 2001
83 	 Oman 	      9,274,000,000 	 2001
84 	 Qatar 	      9,264,000,000 	 2001
85 	 Dominican Republic 	      9,186,000,000 	 2001
86 	 Ghana 	      8,801,000,000 	 2001
87 	 Uruguay 	      7,963,000,000 	 2001
88 	 Estonia 	      7,937,000,000 	 2001
89 	 Iceland 	      7,894,000,000 	 2001
90 	 Zambia 	      7,751,000,000 	 2001
91 	 Georgia 	      7,270,000,000 	 2001
92 	 Mozambique 	      7,193,000,000 	 2001
93 	 Jordan 	      7,091,000,000 	 2001
94 	 Costa Rica 	      6,839,000,000 	 2001
95 	 Zimbabwe 	      6,735,000,000 	 2001
96 	 Lebanon 	      6,728,000,000 	 2001
97 	 Armenia 	      6,479,000,000 	 2001
98 	 Macedonia, The Former Yugoslav Republic of 	      6,465,000,000 	 2001
99 	 Sri Lanka 	      6,360,000,000 	 2001
100 	 Jamaica 	      6,272,000,000 	 2001
101 	 Bahrain 	      6,257,000,000 	 2001
102 	 Guatemala 	      6,237,000,000 	 2001
