This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
1 	 World 	  13,930,000,000,000 	 2001 est.
2 	 United States 	   3,602,000,000,000 	 2001
3 	 China 	   1,312,000,000,000 	 2001
4 	 Japan 	    964,200,000,000 	 2001
5 	 Russia 	    773,000,000,000 	 2001
6 	 Germany 	    506,800,000,000 	 2001
7 	 Canada 	    504,400,000,000 	 2001
8 	 India 	    497,200,000,000 	 2001
9 	 France 	    415,300,000,000 	 2001
10 	 United Kingdom 	    346,100,000,000 	 2001
11 	 Brazil 	    335,900,000,000 	 2001
12 	 Italy 	    289,100,000,000 	 2001
13 	 Korea, South 	    270,300,000,000 	 2001
14 	 Spain 	    210,400,000,000 	 2001
15 	 Mexico 	    186,700,000,000 	 2001
16 	 Australia 	    184,400,000,000 	 2001
17 	 South Africa 	    181,200,000,000 	 2001
18 	 Ukraine 	    152,400,000,000 	 2001
19 	 Taiwan 	    140,500,000,000 	 2001
20 	 Sweden 	    134,900,000,000 	 2001
21 	 Poland 	    118,800,000,000 	 2001
22 	 Iran 	    115,900,000,000 	 2001
23 	 Norway 	    115,300,000,000 	 2001
24 	 Saudi Arabia 	    113,800,000,000 	 2001
25 	 Turkey 	    112,600,000,000 	 2001
26 	 Netherlands 	     99,420,000,000 	 2001
27 	 Argentina 	     92,120,000,000 	 2001
28 	 Thailand 	     90,910,000,000 	 2001
29 	 Indonesia 	     89,080,000,000 	 2001
30 	 Venezuela 	     81,470,000,000 	 2001
31 	 Belgium 	     78,180,000,000 	 2001
32 	 Finland 	     76,180,000,000 	 2001
33 	 Ecuador 	     69,960,000,000 	 2001
34 	 Egypt 	     69,960,000,000 	 2001
35 	 Malaysia 	     63,480,000,000 	 2001
36 	 Pakistan 	     62,270,000,000 	 2001
37 	 Czech Republic 	     55,600,000,000 	 2001
38 	 Austria 	     54,850,000,000 	 2001
39 	 Switzerland 	     53,430,000,000 	 2001
40 	 Greece 	     48,800,000,000 	 2001
41 	 Kazakhstan 	     48,360,000,000 	 2001
42 	 Uzbekistan 	     47,070,000,000 	 2001
43 	 Romania 	     46,100,000,000 	 2001
