This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Birth rate(births/1,000 population) 	 Date of Information
1 	 Niger 	     49.54 	 2003 est.
2 	 Mali 	     47.79 	 2003 est.
3 	 Chad 	     47.06 	 2003 est.
4 	 Uganda 	     46.57 	 2003 est.
5 	 Somalia 	     46.42 	 2003 est.
6 	 Angola 	     45.57 	 2003 est.
7 	 Liberia 	     45.28 	 2003 est.
8 	 Congo, Democratic Republic of the 	     45.12 	 2003 est.
9 	 Burkina Faso 	     44.78 	 2003 est.
10 	 Malawi 	     44.70 	 2003 est.
11 	 Sierra Leone 	     43.89 	 2003 est.
12 	 Yemen 	     43.23 	 2003 est.
13 	 Benin 	     43.15 	 2003 est.
14 	 Mayotte 	     42.86 	 2003 est.
15 	 Guinea 	     42.50 	 2003 est.
16 	 Madagascar 	     42.16 	 2003 est.
17 	 Mauritania 	     42.16 	 2003 est.
18 	 Sao Tome and Principe 	     41.87 	 2003 est.
19 	 Gaza Strip 	     41.23 	 2003 est.
20 	 Djibouti 	     40.78 	 2003 est.
21 	 Gambia, The 	     40.77 	 2003 est.
22 	 Afghanistan 	     40.63 	 2003 est.
23 	 Rwanda 	     40.10 	 2003 est.
24 	 Cote d'Ivoire 	     40.01 	 2003 est.
25 	 Ethiopia 	     39.81 	 2003 est.
26 	 Burundi 	     39.72 	 2003 est.
27 	 Zambia 	     39.53 	 2003 est.
28 	 Tanzania 	     39.50 	 2003 est.
29 	 Eritrea 	     39.44 	 2003 est.
30 	 Nigeria 	     38.75 	 2003 est.
31 	 Comoros 	     38.50 	 2003 est.
32 	 Guinea-Bissau 	     38.41 	 2003 est.
33 	 Mozambique 	     38.20 	 2003 est.
34 	 Oman 	     37.47 	 2003 est.
35 	 Saudi Arabia 	     37.20 	 2003 est.
36 	 Equatorial Guinea 	     36.94 	 2003 est.
37 	 Laos 	     36.93 	 2003 est.
38 	 Maldives 	     36.71 	 2003 est.
39 	 Gabon 	     36.54 	 2003 est.
40 	 Sudan 	     36.48 	 2003 est.
41 	 Senegal 	     36.23 	 2003 est.
42 	 Central African Republic 	     35.93 	 2003 est.
43 	 Cameroon 	     35.49 	 2003 est.
44 	 Togo 	     35.23 	 2003 est.
45 	 Guatemala 	     35.05 	 2003 est.
46 	 Bhutan 	     34.82 	 2003 est.
47 	 Marshall Islands 	     34.18 	 2003 est.
48 	 Namibia 	     34.10 	 2003 est.
49 	 West Bank 	     34.07 	 2003 est.
50 	 Haiti 	     34.06 	 2003 est.
51 	 Iraq 	     33.66 	 2003 est.
52 	 Tajikistan 	     32.78 	 2003 est.
53 	 Nepal 	     32.46 	 2003 est.
