This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
1 	 Botswana 	     31.00 	 2003 est.
2 	 Mozambique 	     30.04 	 2003 est.
3 	 Angola 	     25.83 	 2003 est.
4 	 Lesotho 	     24.58 	 2003 est.
5 	 Zambia 	     24.30 	 2003 est.
6 	 Malawi 	     22.64 	 2003 est.
7 	 Zimbabwe 	     22.02 	 2003 est.
8 	 Rwanda 	     21.72 	 2003 est.
9 	 Niger 	     21.71 	 2003 est.
10 	 Swaziland 	     21.08 	 2003 est.
11 	 Sierra Leone 	     20.66 	 2003 est.
12 	 Ethiopia 	     20.17 	 2003 est.
13 	 Central African Republic 	     19.73 	 2003 est.
14 	 Djibouti 	     19.45 	 2003 est.
15 	 Mali 	     19.21 	 2003 est.
16 	 Namibia 	     19.17 	 2003 est.
17 	 Burkina Faso 	     18.76 	 2003 est.
18 	 South Africa 	     18.42 	 2003 est.
19 	 Cote d'Ivoire 	     18.41 	 2003 est.
20 	 Liberia 	     17.84 	 2003 est.
21 	 Burundi 	     17.80 	 2003 est.
22 	 Somalia 	     17.64 	 2003 est.
23 	 Tanzania 	     17.38 	 2003 est.
24 	 Afghanistan 	     17.15 	 2003 est.
25 	 Uganda 	     16.95 	 2003 est.
26 	 Guinea-Bissau 	     16.62 	 2003 est.
27 	 Ukraine 	     16.39 	 2003 est.
28 	 Chad 	     16.38 	 2003 est.
29 	 Kenya 	     16.01 	 2003 est.
30 	 Guinea 	     15.70 	 2003 est.
31 	 Cameroon 	     15.30 	 2003 est.
32 	 Congo, Democratic Republic of the 	     14.87 	 2003 est.
33 	 Georgia 	     14.71 	 2003 est.
34 	 Latvia 	     14.70 	 2003 est.
35 	 Bulgaria 	     14.34 	 2003 est.
36 	 Congo, Republic of the 	     14.20 	 2003 est.
37 	 Belarus 	     14.05 	 2003 est.
38 	 Russia 	     13.99 	 2003 est.
39 	 Nigeria 	     13.76 	 2003 est.
40 	 Benin 	     13.65 	 2003 est.
41 	 Bhutan 	     13.47 	 2003 est.
42 	 Estonia 	     13.42 	 2003 est.
