This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - dollar figure 	 Date of Information
1 	 United States 	 $     276,700,000,000 	 
2 	 China 	 $      55,910,000,000 	 FY02
3 	 France 	 $      46,500,000,000 	 2000
4 	 Japan 	 $      39,520,000,000 	 FY02
5 	 Germany 	 $      38,800,000,000 	 2002
6 	 United Kingdom 	 $      31,700,000,000 	 2002
7 	 Italy 	 $      20,200,000,000 	 2002
8 	 Saudi Arabia 	 $      18,300,000,000 	 
9 	 Brazil 	 $      13,408,000,000 	 
10 	 Korea, South 	 $      13,094,300,000 	 FY02
11 	 India 	 $      11,520,000,000 	 FY02
12 	 Australia 	 $      11,390,000,000 	 FY02
13 	 Iran 	 $       9,700,000,000 	 
14 	 Israel 	 $       8,970,000,000 	 FY02
15 	 Spain 	 $       8,600,000,000 	 2002
16 	 Turkey 	 $       8,100,000,000 	 2002 est.
17 	 Canada 	 $       7,861,000,000 	 FY01/02
18 	 Taiwan 	 $       7,574,000,000 	 FY02
19 	 Netherlands 	 $       6,500,000,000 	 FY00/01 est.
20 	 Greece 	 $       6,120,000,000 	 
21 	 Korea, North 	 $       5,217,400,000 	 FY02
22 	 Singapore 	 $       4,470,000,000 	 
23 	 Sweden 	 $       4,395,000,000 	 FY01
24 	 Argentina 	 $       4,300,000,000 	 
25 	 Egypt 	 $       4,040,000,000 	 FY99
26 	 Mexico 	 $       4,000,000,000 	 
27 	 Poland 	 $       3,500,000,000 	 2002
28 	 Colombia 	 $       3,300,000,000 	 
29 	 Norway 	 $       3,113,000,000 	 
30 	 Belgium 	 $       3,077,000,000 	 FY01/02
31 	 Pakistan 	 $       2,964,000,000 	 FY02
32 	 Switzerland 	 $       2,548,000,000 	 FY01
33 	 Chile 	 $       2,500,000,000 	 
34 	 Denmark 	 $       2,470,000,000 	 FY99/00
35 	 Oman 	 $       2,424,000,000 	 FY01
36 	 Kuwait 	 $       1,967,300,000 	 
37 	 Algeria 	 $       1,870,000,000 	 
38 	 Finland 	 $       1,800,000,000 	 FY98/99
39 	 Thailand 	 $       1,775,000,000 	 
40 	 South Africa 	 $       1,746,000,000 	 FY02
41 	 Malaysia 	 $       1,690,000,000 	 
42 	 United Arab Emirates 	 $       1,600,000,000 	 
43 	 Austria 	 $       1,497,000,000 	 FY01/02
