This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Highways(km) 	 Date of Information
1 	 United States 	         6,334,859 	 2000
2 	 India 	         3,319,644 	 1999 est.
3 	 Brazil 	         1,724,929 	 2000
4 	 Canada 	         1,408,000 	 2002
5 	 China 	         1,402,698 	 2000
6 	 Japan 	         1,161,894 	 1999
7 	 France 	          894,000 	 2000
8 	 Australia 	          811,603 	 1999 est.
9 	 Spain 	          663,795 	 1999
10 	 Russia 	          532,393 	 2000
11 	 Italy 	          479,688 	 1999
12 	 Turkey 	          385,960 	 1999
13 	 United Kingdom 	          371,913 	 1999
14 	 Poland 	          364,656 	 2000
15 	 South Africa 	          362,099 	 2000
16 	 Indonesia 	          342,700 	 1999 est.
17 	 Mexico 	          329,532 	 1999 est.
18 	 Pakistan 	          254,410 	 1999
19 	 Germany 	          230,735 	 1999
20 	 Argentina 	          215,471 	 1999
21 	 Sweden 	          212,402 	 2000
22 	 Bangladesh 	          207,486 	 1999
23 	 Philippines 	          201,994 	 2000
24 	 Austria 	          200,000 	 2000
25 	 Romania 	          198,603 	 2000
26 	 Nigeria 	          194,394 	 1999 est.
27 	 Hungary 	          188,203 	 1999
28 	 Ukraine 	          169,491 	 2000
29 	 Iran 	          167,157 	 1998
30 	 Congo, Democratic Republic of the 	          157,000 	 1999 est.
31 	 Saudi Arabia 	          151,470 	 1999
32 	 Belgium 	          148,216 	 2000
33 	 Greece 	          117,000 	 1999 est.
34 	 Netherlands 	          116,500 	 1999
35 	 Colombia 	          110,000 	 2000
36 	 Algeria 	          104,000 	 1999
37 	 Sri Lanka 	           96,695 	 1999
38 	 Venezuela 	           96,155 	 1999 est.
39 	 Vietnam 	           93,300 	 1999 est.
40 	 Ireland 	           92,500 	 2000 est.
41 	 New Zealand 	           92,053 	 2000
42 	 Norway 	           91,454 	 2000
43 	 Tanzania 	           88,200 	 1999 est.
44 	 Korea, South 	           86,990 	 1999 est.
45 	 Libya 	           83,200 	 1999 est.
46 	 Uzbekistan 	           81,600 	 1999 est.
47 	 Kazakhstan 	           81,331 	 2000
48 	 Chile 	           79,814 	 2000
49 	 Finland 	           77,943 	 2001
50 	 Lithuania 	           75,243 	 2000
51 	 Belarus 	           74,385 	 2000
52 	 Latvia 	           73,202 	 2000
53 	 Peru 	           72,900 	 1999 est.
54 	 Denmark 	           71,591 	 2000
55 	 Switzerland 	           71,011 	 2000
56 	 Portugal 	           68,732 	 2000
57 	 Yemen 	           67,000 	 1999 est.
58 	 Zambia 	           66,781 	 1999 est.
59 	 Namibia 	           66,467 	 2000
60 	 Malaysia 	           65,877 	 1999
61 	 Thailand 	           64,600 	 1999 est.
62 	 Egypt 	           64,000 	 1999 est.
63 	 Kenya 	           63,942 	 2000
64 	 Cuba 	           60,858 	 1999 est.
65 	 Morocco 	           57,707 	 2000
