This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
1 	 Zimbabwe 	    134.50 	 2002 est.
2 	 Angola 	    106.00 	 2002 est.
3 	 Iraq 	     70.00 	 2002 est.
4 	 Burma 	     53.70 	 2002 est.
5 	 Turkey 	     45.20 	 2002 est.
6 	 Belarus 	     42.80 	 2002 est.
7 	 Argentina 	     41.00 	 2002, yearend
8 	 Venezuela 	     31.20 	 2002 est.
9 	 Malawi 	     27.40 	 2001 est.
10 	 Uzbekistan 	     26.00 	 2001 est.
11 	 Cyprus 	     24.50 	 2002 est.
12 	 Romania 	     22.50 	 2002 est.
13 	 Zambia 	     21.00 	 2002 est.
14 	 Serbia and Montenegro 	     19.00 	 2002 est.
15 	 Suriname 	     17.00 	 2002 est.
16 	 Congo, Democratic Republic of the 	     16.00 	 2002 est.
17 	 Iran 	     15.30 	 2002 est.
18 	 Mozambique 	     15.20 	 2002 est.
19 	 Eritrea 	     15.00 	 2001
20 	 Russia 	     15.00 	 2002 est.
21 	 Liberia 	     15.00 	 2002 est.
22 	 Ghana 	     14.50 	 2002 est.
23 	 Nigeria 	     14.20 	 2002 est.
24 	 Uruguay 	     14.10 	 2002 est.
25 	 Ecuador 	     12.50 	 2002 est.
26 	 Yemen 	     12.20 	 2002 est.
27 	 Burundi 	     12.00 	 2002 est.
28 	 Tajikistan 	     12.00 	 2001 est.
29 	 Haiti 	     11.90 	 2001 est.
30 	 Indonesia 	     11.90 	 2002 est.
31 	 Swaziland 	     11.80 	 2002 est.
32 	 Paraguay 	     10.50 	 2002 est.
33 	 Laos 	     10.00 	 2002 est.
34 	 Lesotho 	     10.00 	 2002 est.
35 	 South Africa 	      9.90 	 2002 est.
36 	 Papua New Guinea 	      9.80 	 2002 est.
37 	 Sri Lanka 	      9.60 	 2002 est.
38 	 Sudan 	      9.20 	 2002 est.
39 	 Costa Rica 	      9.10 	 2002 est.
40 	 Sao Tome and Principe 	      9.00 	 2002 est.
41 	 Tonga 	      8.40 	 2001 est.
42 	 Brazil 	      8.30 	 2002
43 	 Botswana 	      8.10 	 2002 est.
44 	 Guatemala 	      8.10 	 2002 est.
45 	 Namibia 	      8.00 	 2001
46 	 Honduras 	      7.70 	 2002 est.
47 	 Madagascar 	      7.40 	 2001 est.
48 	 Slovenia 	      7.40 	 2002 est.
49 	 Cuba 	      7.10 	 2002 est.
50 	 Jamaica 	      7.00 	 2002 est.
51 	 Mauritius 	      6.40 	 2002 est.
52 	 Mexico 	      6.40 	 2002 est.
53 	 Colombia 	      6.20 	 2002 est.
54 	 Albania 	      6.00 	 2002 est.
55 	 Chad 	      6.00 	 2002 est.
56 	 Equatorial Guinea 	      6.00 	 2002 est.
57 	 Guinea 	      6.00 	 2002 est.
58 	 Kazakhstan 	      6.00 	 2002 est.
59 	 Bulgaria 	      5.90 	 2002 est.
60 	 Israel 	      5.70 	 2002 est.
61 	 Gambia, The 	      5.50 	 2002 est.
62 	 Rwanda 	      5.50 	 2002 est.
63 	 Moldova 	      5.50 	 2002 est.
64 	 India 	      5.40 	 2002 est.
65 	 Dominican Republic 	      5.30 	 2002 est.
66 	 Hungary 	      5.30 	 2002 est.
67 	 Georgia 	      5.20 	 2002 est.
68 	 Iceland 	      5.20 	 2002 est.
69 	 Faroe Islands 	      5.10 	 1999
70 	 Puerto Rico 	      5.00 	 2002 est.
71 	 Tuvalu 	      5.00 	 2000 est.
72 	 Turkmenistan 	      5.00 	 2002 est.
73 	 Tanzania 	      4.80 	 2002 est.
74 	 Guyana 	      4.70 	 2002 est.
75 	 Jersey 	      4.70 	 1998
76 	 Ireland 	      4.60 	 2002 est.
77 	 Cameroon 	      4.50 	 2002 est.
78 	 Mali 	      4.50 	 2002 est.
79 	 Andorra 	      4.30 	 2000
80 	 Trinidad and Tobago 	      4.30 	 2002 est.
81 	 Egypt 	      4.30 	 2002 est.
82 	 Congo, Republic of the 	      4.00 	 2002 est.
83 	 Togo 	      4.00 	 2002 est.
84 	 Samoa 	      4.00 	 2001 est.
