This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
1 	 Andorra 	     83.49 	 2003 est.
2 	 Macau 	     81.87 	 2003 est.
3 	 San Marino 	     81.43 	 2003 est.
4 	 Japan 	     80.93 	 2003 est.
5 	 Singapore 	     80.42 	 2003 est.
6 	 Australia 	     80.13 	 2003 est.
7 	 Guernsey 	     80.04 	 2003 est.
8 	 Switzerland 	     79.99 	 2003 est.
9 	 Sweden 	     79.97 	 2003 est.
10 	 Hong Kong 	     79.93 	 2003 est.
11 	 Canada 	     79.83 	 2003 est.
12 	 Iceland 	     79.80 	 2003 est.
13 	 Cayman Islands 	     79.67 	 2003 est.
14 	 Italy 	     79.40 	 2003 est.
15 	 Gibraltar 	     79.38 	 2003 est.
16 	 France 	     79.28 	 2003 est.
17 	 Monaco 	     79.27 	 2003 est.
18 	 Liechtenstein 	     79.25 	 2003 est.
19 	 Spain 	     79.23 	 2003 est.
20 	 Norway 	     79.09 	 2003 est.
21 	 Israel 	     79.02 	 2003 est.
22 	 Jersey 	     78.93 	 2003 est.
23 	 Faroe Islands 	     78.90 	 2003 est.
24 	 Greece 	     78.89 	 2003 est.
25 	 Aruba 	     78.83 	 2003 est.
26 	 Netherlands 	     78.74 	 2003 est.
27 	 Martinique 	     78.72 	 2003 est.
28 	 Virgin Islands 	     78.59 	 2003 est.
29 	 Malta 	     78.43 	 2003 est.
30 	 Germany 	     78.42 	 2003 est.
31 	 Montserrat 	     78.36 	 2003 est.
32 	 New Zealand 	     78.32 	 2003 est.
33 	 Belgium 	     78.29 	 2003 est.
34 	 Guam 	     78.27 	 2003 est.
35 	 Austria 	     78.17 	 2003 est.
36 	 United Kingdom 	     78.16 	 2003 est.
37 	 Saint Pierre and Miquelon 	     78.11 	 2003 est.
38 	 Man, Isle of 	     77.98 	 2003 est.
39 	 Finland 	     77.92 	 2003 est.
40 	 Jordan 	     77.88 	 2003 est.
41 	 Luxembourg 	     77.66 	 2003 est.
42 	 Guadeloupe 	     77.53 	 2003 est.
43 	 Bermuda 	     77.41 	 2003 est.
