This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Railways(km) 	 Date of Information
1 	 World 	         1,122,650 	 
2 	 United States 	          194,731 	 2000
3 	 Russia 	           87,157 	 2002
4 	 China 	           71,600 	 2002
5 	 India 	           63,518 	 2002
6 	 Canada 	           49,422 	 2002
7 	 Germany 	           45,514 	 2002
8 	 Australia 	           41,588 	 2002
9 	 Argentina 	           34,463 	 2002
10 	 France 	           32,682 	 2002
11 	 Brazil 	           31,543 	 2002
12 	 Poland 	           23,420 	 2002
13 	 Japan 	           23,168 	 2002
14 	 Ukraine 	           22,473 	 2002
15 	 South Africa 	           22,298 	 2002
16 	 Mexico 	           19,510 	 2002
17 	 Italy 	           19,493 	 2002
18 	 United Kingdom 	           16,893 	 2002
19 	 Spain 	           14,189 	 2002
20 	 Kazakhstan 	           13,601 	 2002
21 	 Sweden 	           11,481 	 2002
22 	 Romania 	           11,385 	 2002
23 	 Czech Republic 	            9,462 	 2002
24 	 Turkey 	            8,607 	 2002
25 	 Pakistan 	            8,163 	 2002
26 	 Hungary 	            7,875 	 2002
27 	 Iran 	            7,201 	 2002
28 	 Chile 	            6,585 	 2002
29 	 Indonesia 	            6,458 	 2002
30 	 Austria 	            6,024 	 2002
31 	 Sudan 	            5,978 	 2002
32 	 Finland 	            5,850 	 2002
33 	 Belarus 	            5,523 	 2002
34 	 Korea, North 	            5,214 	 2002
35 	 Egypt 	            5,105 	 2002
36 	 Congo, Democratic Republic of the 	            4,772 	 2002
37 	 Switzerland 	            4,511 	 2002
38 	 Bulgaria 	            4,294 	 2002
39 	 Norway 	            4,178 	 2002
40 	 Thailand 	            4,071 	 2002
41 	 Serbia and Montenegro 	            4,059 	 2002
42 	 Algeria 	            3,973 	 2002
43 	 Burma 	            3,955 	 2002
44 	 Uzbekistan 	            3,950 	 2002
45 	 New Zealand 	            3,898 	 2002
46 	 Tanzania 	            3,690 	 2002
47 	 Slovakia 	            3,668 	 2002
48 	 Nigeria 	            3,557 	 2002
49 	 Bolivia 	            3,519 	 2002
50 	 Belgium 	            3,471 	 2002
51 	 Cuba 	            3,442 	 2002
52 	 Ireland 	            3,312 	 2002
53 	 Colombia 	            3,304 	 2002
