This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
1 	 United States 	       194,000,000 	 1997
2 	 China 	       135,000,000 	 2000
3 	 Japan 	        60,381,000 	 1997
4 	 Germany 	        50,900,000 	 March 2001
5 	 United Kingdom 	        34,878,000 	 1997
6 	 France 	        34,860,000 	 yearend 1998
7 	 Russia 	        30,000,000 	 1998
8 	 India 	        27,700,000 	 October 2000
9 	 Italy 	        25,000,000 	 1999
10 	 Korea, South 	        24,000,000 	 2000
11 	 Canada 	        20,802,900 	 1999
12 	 Turkey 	        19,500,000 	 1999
13 	 Spain 	        17,336,000 	 1999
14 	 Brazil 	        17,039,000 	 1997
15 	 Taiwan 	        12,490,000 	 September 2000
16 	 Mexico 	        12,332,000 	 2000
17 	 Australia 	        10,050,000 	 2000
18 	 Ukraine 	         9,450,000 	 April 1999
19 	 Netherlands 	         9,132,400 	 1999
20 	 Poland 	         8,070,000 	 1998
21 	 Argentina 	         7,500,000 	 1998
22 	 Philippines 	         6,980,000 	 2001
23 	 Iran 	         6,313,000 	 1997
24 	 Sweden 	         6,017,000 	 December 1998
25 	 Thailand 	         5,600,000 	 2000
26 	 Indonesia 	         5,588,310 	 1998
27 	 Colombia 	         5,433,565 	 December 1997
28 	 Greece 	         5,431,000 	 1997
29 	 Portugal 	         5,300,000 	 yearend 1998
30 	 South Africa 	         5,000,000 	 2001
31 	 Switzerland 	         4,820,000 	 1998
32 	 Denmark 	         4,785,000 	 1997
33 	 Belgium 	         4,769,000 	 1997
34 	 Malaysia 	         4,600,000 	 2000
35 	 Austria 	         4,000,000 	 2001
36 	 Egypt 	         3,971,500 	 December 1998
37 	 Saudi Arabia 	         3,900,000 	 2002 est.
38 	 Czech Republic 	         3,869,000 	 2000
39 	 Hong Kong 	         3,839,000 	 1999
40 	 Romania 	         3,777,000 	 1997
41 	 Bulgaria 	         3,186,731 	 2001
42 	 Hungary 	         3,095,000 	 1997
43 	 Pakistan 	         2,861,000 	 
44 	 Finland 	         2,847,900 	 2001
45 	 Israel 	         2,800,000 	 1999
46 	 Norway 	         2,735,000 	 1998
47 	 Chile 	         2,603,000 	 1998
48 	 Venezuela 	         2,600,000 	 1998
49 	 Vietnam 	         2,600,000 	 2000
50 	 Belarus 	         2,313,000 	 1997
51 	 Algeria 	         2,300,000 	 1998
52 	 Serbia and Montenegro 	         2,017,000 	 1995
53 	 Uzbekistan 	         1,980,000 	 1999
54 	 Singapore 	         1,950,000 	 2000
55 	 Slovakia 	         1,934,558 	 1998
56 	 Kazakhstan 	         1,920,000 	 2001
57 	 New Zealand 	         1,920,000 	 2000
58 	 Peru 	         1,800,000 	 2000
59 	 Croatia 	         1,721,139 	 2000
60 	 Ireland 	         1,600,000 	 2002
61 	 Morocco 	         1,391,000 	 1998
62 	 Puerto Rico 	         1,322,000 	 1997
63 	 Syria 	         1,313,000 	 1997
64 	 Lithuania 	         1,142,000 	 2001
65 	 Ecuador 	         1,115,272 	 1999
66 	 Korea, North 	         1,100,000 	 1997
67 	 Uruguay 	          929,141 	 2001
68 	 United Arab Emirates 	          915,223 	 1998
69 	 Azerbaijan 	          865,000 	 2002
70 	 Latvia 	          734,693 	 2000
71 	 Slovenia 	          722,000 	 1997
72 	 Dominican Republic 	          709,000 	 1997
73 	 Lebanon 	          700,000 	 1999
74 	 Iraq 	          675,000 	 
75 	 Guatemala 	          665,061 	 June 2000
76 	 Tunisia 	          654,000 	 1997
77 	 Moldova 	          627,000 	 1997
78 	 Georgia 	          620,000 	 1997
79 	 Armenia 	          600,000 	 2002
80 	 Rwanda 	          600,000 	 2002
81 	 Estonia 	          501,691 	 2000
82 	 Bangladesh 	          500,000 	 2000
83 	 Libya 	          500,000 	 1998
84 	 Nigeria 	          500,000 	 2000 est.
85 	 Sri Lanka 	          494,509 	 1998
86 	 Cuba 	          473,031 	 2000
87 	 Costa Rica 	          450,000 	 
88 	 Kuwait 	          412,000 	 1997
89 	 Macedonia, The Former Yugoslav Republic of 	          408,000 	 1997
90 	 Cyprus 	          405,000 	 
91 	 Jordan 	          403,000 	 1997
92 	 Sudan 	          400,000 	 2000
93 	 Panama 	          396,000 	 1997
94 	 El Salvador 	          380,000 	 1998
