This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
1 	 United States 	        69,209,000 	 1998
2 	 China 	        65,000,000 	 January 2001
3 	 Japan 	        63,880,000 	 2000
4 	 Germany 	        55,300,000 	 June 2001
5 	 United Kingdom 	        43,500,000 	 yearend 1998
6 	 Korea, South 	        28,000,000 	 September 2000
7 	 Italy 	        20,500,000 	 1999
8 	 Russia 	        19,000,000 	 January 2003
9 	 Turkey 	        17,100,000 	 2001
10 	 Taiwan 	        16,000,000 	 September 2000
11 	 Poland 	        13,000,000 	 2002
12 	 Philippines 	        11,350,000 	 2001
13 	 France 	        11,078,000 	 yearend 1998
14 	 Canada 	         8,751,300 	 1997
15 	 Australia 	         8,600,000 	 2000
16 	 Spain 	         8,394,000 	 1999
17 	 South Africa 	         7,060,000 	 2001
18 	 Austria 	         6,000,000 	 2001
19 	 Malaysia 	         5,000,000 	 2000
20 	 Brazil 	         4,400,000 	 1997
21 	 Czech Republic 	         4,346,000 	 2000
22 	 Netherlands 	         4,081,891 	 April 1999
23 	 Sweden 	         3,835,000 	 October 1998
24 	 Finland 	         3,728,600 	 2001
25 	 Hong Kong 	         3,700,000 	 December 1999
26 	 Thailand 	         3,100,000 	 2002
27 	 Portugal 	         3,074,194 	 1999
28 	 Argentina 	         3,000,000 	 December 1999
29 	 Ireland 	         3,000,000 	 2002
30 	 India 	         2,930,000 	 November 2000
31 	 Saudi Arabia 	         2,900,000 	 2002 est.
32 	 Singapore 	         2,740,000 	 2000
33 	 Israel 	         2,500,000 	 1999
34 	 New Zealand 	         2,200,000 	 2000
35 	 Norway 	         2,080,408 	 1998
36 	 Mexico 	         2,020,000 	 1998
37 	 Venezuela 	         2,000,000 	 1998
38 	 Switzerland 	         1,967,000 	 1999
39 	 Colombia 	         1,800,229 	 December 1998
40 	 Denmark 	         1,444,016 	 1997
41 	 Croatia 	         1,300,000 	 2001
42 	 Hungary 	         1,269,000 	 July 1999
43 	 Indonesia 	         1,070,000 	 1998
44 	 Bulgaria 	         1,054,000 	 2001
45 	 Slovenia 	         1,000,000 	 2000
46 	 United Arab Emirates 	         1,000,000 	 1999
47 	 Belgium 	          974,494 	 1997
48 	 Chile 	          944,225 	 1998
49 	 Greece 	          937,700 	 1997
50 	 Azerbaijan 	          800,000 	 2002
51 	 Slovakia 	          736,662 	 April 1999
52 	 Vietnam 	          730,155 	 2000
53 	 Estonia 	          711,000 	 yearend 2001
54 	 Guatemala 	          663,296 	 September 2000
55 	 Romania 	          645,500 	 1999
56 	 Lebanon 	          580,000 	 1999
57 	 Kenya 	          540,000 	 2001
58 	 Paraguay 	          510,000 	 2001
59 	 Peru 	          504,995 	 1998
60 	 Lithuania 	          500,000 	 2001
