This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet users 	 Date of Information
1 	 World 	       604,111,719 	 
2 	 United States 	       165,750,000 	 2002
3 	 Japan 	        56,000,000 	 2002
4 	 China 	        45,800,000 	 2002
5 	 United Kingdom 	        34,300,000 	 2002
6 	 Germany 	        32,100,000 	 2002
7 	 Korea, South 	        25,600,000 	 2002
8 	 Italy 	        19,250,000 	 2001
9 	 Russia 	        18,000,000 	 2002
10 	 France 	        16,970,000 	 2002
11 	 Canada 	        16,840,000 	 2002
12 	 Brazil 	        13,980,000 	 2002
13 	 Taiwan 	        11,600,000 	 2001
14 	 Australia 	        10,630,000 	 2002
15 	 Netherlands 	         9,730,000 	 2002
16 	 Spain 	         7,890,000 	 2002
17 	 India 	         7,000,000 	 2002
18 	 Poland 	         6,400,000 	 2001
19 	 Sweden 	         6,020,000 	 2002
20 	 Malaysia 	         5,700,000 	 2002
21 	 Philippines 	         4,500,000 	 2002
22 	 Indonesia 	         4,400,000 	 2002
23 	 Portugal 	         4,400,000 	 2002
24 	 Hong Kong 	         4,350,000 	 2002
25 	 Argentina 	         3,880,000 	 2001
26 	 Switzerland 	         3,850,000 	 2002
27 	 Belgium 	         3,760,000 	 2002
28 	 Austria 	         3,700,000 	 2002
29 	 Mexico 	         3,500,000 	 2002
30 	 Denmark 	         3,370,000 	 2002
31 	 Chile 	         3,100,000 	 2002
32 	 South Africa 	         3,068,000 	 2002
33 	 Peru 	         3,000,000 	 2002
34 	 Czech Republic 	         2,690,000 	 2001
35 	 Finland 	         2,690,000 	 2002
36 	 Norway 	         2,680,000 	 2002
37 	 Turkey 	         2,500,000 	 2002
38 	 Singapore 	         2,310,000 	 2002
39 	 New Zealand 	         2,060,000 	 2002
40 	 Israel 	         1,940,000 	 2001
41 	 Saudi Arabia 	         1,453,000 	 2002
