This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
1 	 World 	        76,210,000 	 2001 est.
2 	 United States 	        19,650,000 	 2001 est.
3 	 Japan 	         5,290,000 	 2001 est.
4 	 China 	         4,975,000 	 2001 est.
5 	 Germany 	         2,813,000 	 2001 est.
6 	 Russia 	         2,595,000 	 2001 est.
7 	 Brazil 	         2,199,000 	 2001 est.
8 	 Korea, South 	         2,140,000 	 2001 est.
9 	 India 	         2,130,000 	 2001 est.
10 	 France 	         2,026,000 	 2001 est.
11 	 Italy 	         1,866,000 	 2001 est.
12 	 United Kingdom 	         1,710,000 	 2001 est.
13 	 Canada 	         1,703,000 	 2001 est.
14 	 Mexico 	         1,507,000 	 2001 est.
15 	 Spain 	         1,497,000 	 2001 est.
16 	 Saudi Arabia 	         1,452,000 	 2001 est.
17 	 Iran 	         1,277,000 	 2001 est.
18 	 Indonesia 	         1,045,000 	 2001 est.
19 	 Taiwan 	          988,000 	 2001 est.
20 	 Netherlands 	          895,300 	 2001 est.
21 	 Australia 	          796,500 	 2001 est.
22 	 Thailand 	          785,000 	 2001 est.
23 	 Singapore 	          700,000 	 2001 est.
24 	 Turkey 	          619,500 	 2001 est.
25 	 Belgium 	          595,100 	 2001 est.
26 	 Egypt 	          562,000 	 2001 est.
27 	 Venezuela 	          505,000 	 2001 est.
28 	 Argentina 	          486,000 	 2001 est.
29 	 Malaysia 	          472,000 	 2001 est.
30 	 Iraq 	          460,000 	 2001 est.
31 	 South Africa 	          460,000 	 2001 est.
32 	 Poland 	          424,100 	 2001 est.
33 	 Greece 	          405,700 	 2001 est.
34 	 Pakistan 	          365,000 	 2001 est.
35 	 Philippines 	          343,000 	 2001 est.
36 	 Portugal 	          339,800 	 2001 est.
37 	 Sweden 	          328,600 	 2001 est.
38 	 United Arab Emirates 	          310,000 	 2001 est.
39 	 Switzerland 	          290,400 	 2001 est.
40 	 Ukraine 	          290,000 	 2001 est.
41 	 Nigeria 	          275,000 	 2001 est.
42 	 Kuwait 	          273,000 	 2001 est.
43 	 Syria 	          265,000 	 2001 est.
44 	 Austria 	          262,400 	 2001 est.
45 	 Israel 	          260,000 	 2001 est.
46 	 Hong Kong 	          257,000 	 2001 est.
47 	 Colombia 	          252,000 	 2001 est.
48 	 Chile 	          241,000 	 2001 est.
49 	 Belarus 	          230,000 	 2001 est.
50 	 Denmark 	          218,000 	 2001 est.
51 	 Libya 	          216,000 	 2001 est.
52 	 Romania 	          215,000 	 2001 est.
53 	 Finland 	          211,400 	 2001 est.
54 	 Algeria 	          209,000 	 2001 est.
55 	 Kazakhstan 	          195,000 	 2001 est.
56 	 Puerto Rico 	          190,000 	 2001 est.
57 	 Vietnam 	          185,000 	 2001 est.
58 	 Czech Republic 	          175,700 	 2001 est.
59 	 Ireland 	          174,400 	 2001 est.
60 	 Norway 	          171,100 	 2001 est.
61 	 Morocco 	          167,000 	 2001 est.
62 	 Cuba 	          163,000 	 2001 est.
63 	 Peru 	          161,000 	 2001 est.
64 	 Uzbekistan 	          142,000 	 2001 est.
65 	 Hungary 	          140,700 	 2001 est.
66 	 Azerbaijan 	          140,000 	 2001 est.
67 	 New Zealand 	          132,700 	 2001 est.
68 	 Dominican Republic 	          129,000 	 2001 est.
69 	 Ecuador 	          129,000 	 2001 est.
70 	 Lebanon 	          107,000 	 2001 est.
71 	 Jordan 	          103,000 	 2001 est.
72 	 Bulgaria 	           94,000 	 2001 est.
73 	 Croatia 	           89,000 	 2001 est.
74 	 Tunisia 	           87,000 	 2001 est.
75 	 Korea, North 	           85,000 	 2001 est.
76 	 Slovakia 	           82,000 	 2001 est.
77 	 Sri Lanka 	           75,000 	 2001 est.
