This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP (purchasing power parity) 	 Date of Information
1 	 World 	 $   55,500,000,000,000 	 2004 est.
2 	 United States 	 $   11,750,000,000,000 	 2004 est.
3 	 European Union 	 $   11,650,000,000,000 	 2004 est.
4 	 China 	 $    7,262,000,000,000 	 2004 est.
5 	 Japan 	 $    3,745,000,000,000 	 2004 est.
6 	 India 	 $    3,319,000,000,000 	 2004 est.
7 	 Germany 	 $    2,362,000,000,000 	 2004 est.
8 	 United Kingdom 	 $    1,782,000,000,000 	 2004 est.
9 	 France 	 $    1,737,000,000,000 	 2004 est.
10 	 Italy 	 $    1,609,000,000,000 	 2004 est.
11 	 Brazil 	 $    1,492,000,000,000 	 2004 est.
12 	 Russia 	 $    1,408,000,000,000 	 2004 est.
13 	 Canada 	 $    1,023,000,000,000 	 2004 est.
14 	 Mexico 	 $    1,006,000,000,000 	 2004 est.
15 	 Spain 	 $     937,600,000,000 	 2004 est.
16 	 Korea, South 	 $     925,100,000,000 	 2004 est.
17 	 Indonesia 	 $     827,400,000,000 	 2004 est.
18 	 Australia 	 $     611,700,000,000 	 2004 est.
19 	 Taiwan 	 $     576,200,000,000 	 2004 est.
20 	 Thailand 	 $     524,800,000,000 	 2004 est.
21 	 Iran 	 $     516,700,000,000 	 2004 est.
22 	 Turkey 	 $     508,700,000,000 	 2004 est.
23 	 South Africa 	 $     491,400,000,000 	 2004 est.
24 	 Argentina 	 $     483,500,000,000 	 2004 est.
25 	 Netherlands 	 $     481,100,000,000 	 2004 est.
26 	 Poland 	 $     463,000,000,000 	 2004 est.
27 	 Philippines 	 $     430,600,000,000 	 2004 est.
28 	 Pakistan 	 $     347,300,000,000 	 2004 est.
29 	 Egypt 	 $     316,300,000,000 	 2004 est.
30 	 Belgium 	 $     316,200,000,000 	 2004 est.
31 	 Saudi Arabia 	 $     310,200,000,000 	 2004 est.
32 	 Ukraine 	 $     299,100,000,000 	 2004 est.
33 	 Colombia 	 $     281,100,000,000 	 2004 est.
34 	 Bangladesh 	 $     275,700,000,000 	 2004 est.
35 	 Austria 	 $     255,900,000,000 	 2004 est.
36 	 Sweden 	 $     255,400,000,000 	 2004 est.
37 	 Switzerland 	 $     251,900,000,000 	 2004 est.
38 	 Hong Kong 	 $     234,500,000,000 	 2004 est.
39 	 Malaysia 	 $     229,300,000,000 	 2004 est.
40 	 Vietnam 	 $     227,200,000,000 	 2004 est.
