This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
1 	 Iraq 	           52.30 	 2004 est.
2 	 Chad 	           38.00 	 2004 est.
3 	 Liberia 	           21.80 	 2004 est.
4 	 Equatorial Guinea 	           20.00 	 2002 est.
5 	 Venezuela 	           16.80 	 2004 est.
6 	 Macau 	           15.60 	 2003
7 	 Ukraine 	           12.00 	 2004 est.
8 	 Angola 	           11.70 	 2004 est.
9 	 Ethiopia 	           11.60 	 2004 est.
10 	 Liechtenstein 	           11.00 	 1999 est.
11 	 Mongolia 	           10.60 	 2004 est.
12 	 Tajikistan 	           10.50 	 2004 est.
13 	 Uruguay 	           10.20 	 2004 est.
14 	 Faroe Islands 	           10.00 	 2001 est.
15 	 Azerbaijan 	            9.80 	 2004 est.
16 	 Georgia 	            9.50 	 2004 est.
17 	 China 	            9.10 	 2004 est.
18 	 Kazakhstan 	            9.10 	 2004 est.
19 	 Armenia 	            9.00 	 2004 est.
20 	 Qatar 	            8.70 	 2004 est.
21 	 Argentina 	            8.30 	 2004 est.
22 	 Mozambique 	            8.20 	 2004 est.
23 	 Turkey 	            8.20 	 2004 est.
24 	 Romania 	            8.10 	 2004 est.
25 	 Singapore 	            8.10 	 2004 est.
26 	 Hong Kong 	            7.90 	 2004 est.
27 	 Vietnam 	            7.70 	 2004 est.
28 	 Latvia 	            7.60 	 2004 est.
29 	 Afghanistan 	            7.50 	 2004 est.
30 	 Turkmenistan 	            7.50 	 2004 est.
31 	 Congo, Democratic Republic of the 	            7.50 	 2004 est.
32 	 San Marino 	            7.50 	 2001 est.
33 	 Cook Islands 	            7.10 	 2001 est.
34 	 Malaysia 	            7.10 	 2004 est.
35 	 Kuwait 	            6.80 	 2004 est.
36 	 Moldova 	            6.80 	 2004 est.
37 	 Russia 	            6.70 	 2004 est.
38 	 Lithuania 	            6.60 	 2004 est.
39 	 Serbia and Montenegro 	            6.50 	 2004 est.
40 	 Belarus 	            6.40 	 2004 est.
41 	 Sudan 	            6.40 	 2004 est.
42 	 Iran 	            6.30 	 2004 est.
43 	 India 	            6.20 	 2004 est.
44 	 Nigeria 	            6.20 	 2004 est.
45 	 Algeria 	            6.10 	 2004 est.
46 	 Thailand 	            6.10 	 2004 est.
47 	 Pakistan 	            6.10 	 2004 est.
48 	 Estonia 	            6.00 	 2004 est.
49 	 Gambia, The 	            6.00 	 2004 est.
50 	 West Bank 	            6.00 	 2003 est.
51 	 Taiwan 	            6.00 	 2004 est.
52 	 Sao Tome and Principe 	            6.00 	 2004 est.
