This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
1 	 World 	 $    8,819,000,000,000 	 2003 est.
2 	 European Union 	 $    1,109,000,000,000 	 2003
3 	 Germany 	 $     893,300,000,000 	 2004 est.
4 	 United States 	 $     795,000,000,000 	 2004 est.
5 	 China 	 $     583,100,000,000 	 2004 est.
6 	 Japan 	 $     538,800,000,000 	 2004 est.
7 	 France 	 $     419,000,000,000 	 2004 est.
8 	 United Kingdom 	 $     347,200,000,000 	 2004 est.
9 	 Italy 	 $     336,400,000,000 	 2004 est.
10 	 Canada 	 $     315,600,000,000 	 2004 est.
11 	 Netherlands 	 $     293,100,000,000 	 2004 est.
12 	 Hong Kong 	 $     268,100,000,000 	 2004 est.
13 	 Belgium 	 $     255,700,000,000 	 2003 est.
14 	 Korea, South 	 $     250,600,000,000 	 2004 est.
15 	 Mexico 	 $     182,400,000,000 	 2004 est.
16 	 Singapore 	 $     174,000,000,000 	 2004 est.
17 	 Spain 	 $     172,500,000,000 	 2004 est.
18 	 Taiwan 	 $     170,500,000,000 	 2004 est.
19 	 Russia 	 $     162,500,000,000 	 2004 est.
20 	 Switzerland 	 $     130,700,000,000 	 2004 est.
21 	 Malaysia 	 $     123,500,000,000 	 2004 est.
22 	 Sweden 	 $     121,700,000,000 	 2004 est.
23 	 Saudi Arabia 	 $     113,000,000,000 	 2004 est.
24 	 Ireland 	 $     103,800,000,000 	 2004 est.
25 	 Austria 	 $     102,700,000,000 	 2004 est.
26 	 Brazil 	 $      95,000,000,000 	 2004 est.
27 	 Thailand 	 $      87,910,000,000 	 2004 est.
28 	 Australia 	 $      86,890,000,000 	 2004 est.
29 	 Norway 	 $      76,640,000,000 	 2004 est.
30 	 Poland 	 $      75,980,000,000 	 2004 est.
31 	 Denmark 	 $      73,060,000,000 	 2004 est.
32 	 Indonesia 	 $      69,860,000,000 	 2004 est.
33 	 United Arab Emirates 	 $      69,480,000,000 	 2004 est.
34 	 Turkey 	 $      69,460,000,000 	 2004 est.
35 	 India 	 $      69,180,000,000 	 2004 est.
36 	 Czech Republic 	 $      66,510,000,000 	 2004 est.
37 	 Finland 	 $      61,040,000,000 	 2004 est.
38 	 Hungary 	 $      54,620,000,000 	 2004 est.
39 	 Puerto Rico 	 $      46,900,000,000 	 2001
40 	 South Africa 	 $      41,970,000,000 	 2004 est.
41 	 Iran 	 $      38,790,000,000 	 2004 est.
42 	 Philippines 	 $      38,630,000,000 	 2004 est.
43 	 Portugal 	 $      37,680,000,000 	 2004 est.
44 	 Venezuela 	 $      35,840,000,000 	 2004 est.
45 	 Israel 	 $      34,410,000,000 	 2004 est.
46 	 Nigeria 	 $      33,990,000,000 	 2004 est.
47 	 Argentina 	 $      33,780,000,000 	 2004 est.
48 	 Ukraine 	 $      32,910,000,000 	 2004 est.
49 	 Algeria 	 $      32,160,000,000 	 2004 est.
50 	 Slovakia 	 $      29,240,000,000 	 2004 est.
51 	 Chile 	 $      29,200,000,000 	 2004 est.
52 	 Kuwait 	 $      27,420,000,000 	 2004 est.
53 	 Vietnam 	 $      23,720,000,000 	 2004 est.
54 	 Romania 	 $      23,540,000,000 	 2004 est.
55 	 New Zealand 	 $      19,850,000,000 	 2004 est.
56 	 Libya 	 $      18,650,000,000 	 2004 est.
57 	 Kazakhstan 	 $      18,470,000,000 	 2004 est.
58 	 Colombia 	 $      15,500,000,000 	 2004 est.
59 	 Greece 	 $      15,500,000,000 	 2004 est.
60 	 Pakistan 	 $      15,070,000,000 	 2004 est.
61 	 Qatar 	 $      15,000,000,000 	 2004 est.
62 	 Slovenia 	 $      14,970,000,000 	 2004 est.
63 	 Luxembourg 	 $      13,400,000,000 	 2003
64 	 Oman 	 $      13,140,000,000 	 2004 est.
65 	 Angola 	 $      12,760,000,000 	 2004 est.
66 	 Peru 	 $      12,300,000,000 	 2004 est.
67 	 Belarus 	 $      11,470,000,000 	 2004 est.
68 	 Egypt 	 $      11,000,000,000 	 2004 est.
69 	 Iraq 	 $      10,100,000,000 	 2004 est.
70 	 Tunisia 	 $       9,926,000,000 	 2004 est.
71 	 Morocco 	 $       9,754,000,000 	 2004 est.
72 	 Bulgaria 	 $       9,134,000,000 	 2004 est.
73 	 Lithuania 	 $       8,880,000,000 	 2004 est.
74 	 Bahrain 	 $       8,205,000,000 	 2004 est.
75 	 Croatia 	 $       7,845,000,000 	 2004 est.
76 	 Brunei 	 $       7,700,000,000 	 2003 est.
77 	 Ecuador 	 $       7,560,000,000 	 2004 est.
78 	 Bangladesh 	 $       7,478,000,000 	 2004 est.
79 	 Trinidad and Tobago 	 $       6,671,000,000 	 2004 est.
80 	 Costa Rica 	 $       6,184,000,000 	 2004 est.
81 	 Syria 	 $       6,086,000,000 	 2004 est.
82 	 Estonia 	 $       5,701,000,000 	 2004 est.
83 	 Panama 	 $       5,699,000,000 	 2004 est.
84 	 Dominican Republic 	 $       5,446,000,000 	 2004 est.
85 	 Sri Lanka 	 $       5,306,000,000 	 2004 est.
86 	 Cote d'Ivoire 	 $       5,124,000,000 	 2004 est.
87 	 Yemen 	 $       4,468,000,000 	 2004 est.
88 	 Turkmenistan 	 $       4,000,000,000 	 2004 est.
89 	 Gabon 	 $       3,710,000,000 	 2004 est.
90 	 Uzbekistan 	 $       3,700,000,000 	 2004 est.
91 	 Latvia 	 $       3,569,000,000 	 2004 est.
92 	 Sudan 	 $       3,395,000,000 	 2004 est.
93 	 El Salvador 	 $       3,249,000,000 	 2004 est.
94 	 Serbia and Montenegro 	 $       3,245,000,000 	 2004 est.
95 	 Jordan 	 $       3,200,000,000 	 2004 est.
96 	 Azerbaijan 	 $       3,168,000,000 	 2004 est.
97 	 Ghana 	 $       3,010,000,000 	 2004 est.
98 	 Botswana 	 $       2,940,000,000 	 2004 est.
99 	 Paraguay 	 $       2,936,000,000 	 2004 est.
100 	 Guatemala 	 $       2,911,000,000 	 2004 est.
101 	 Iceland 	 $       2,902,000,000 	 2004 est.
102 	 Equatorial Guinea 	 $       2,771,000,000 	 2004 est.
103 	 Malta 	 $       2,625,000,000 	 2004 est.
104 	 Kenya 	 $       2,589,000,000 	 2004 est.
105 	 Macau 	 $       2,580,000,000 	 2003
106 	 Liechtenstein 	 $       2,470,000,000 	 1996
107 	 Cameroon 	 $       2,445,000,000 	 2004 est.
108 	 Papua New Guinea 	 $       2,437,000,000 	 2004 est.
109 	 Cambodia 	 $       2,311,000,000 	 2004 est.
110 	 Congo, Republic of the 	 $       2,224,000,000 	 2004 est.
111 	 Uruguay 	 $       2,200,000,000 	 2003 est.
112 	 Burma 	 $       2,137,000,000 	 2004 est.
113 	 Cuba 	 $       2,104,000,000 	 2004 est.
114 	 Mauritius 	 $       2,012,000,000 	 2004 est.
115 	 Bolivia 	 $       1,986,000,000 	 2004 est.
116 	 Lebanon 	 $       1,783,000,000 	 2004 est.
117 	 Bosnia and Herzegovina 	 $       1,700,000,000 	 2004 est.
118 	 Jamaica 	 $       1,679,000,000 	 2004 est.
119 	 Macedonia 	 $       1,629,000,000 	 2004 est.
120 	 Netherlands Antilles 	 $       1,579,000,000 	 2002
121 	 Zambia 	 $       1,548,000,000 	 2004 est.
122 	 Honduras 	 $       1,457,000,000 	 2004 est.
123 	 Congo, Democratic Republic of the 	 $       1,417,000,000 	 2002 est.
124 	 Zimbabwe 	 $       1,409,000,000 	 2004 est.
125 	 Senegal 	 $       1,374,000,000 	 2004 est.
126 	 Namibia 	 $       1,356,000,000 	 2004 est.
127 	 Tanzania 	 $       1,248,000,000 	 2004 est.
128 	 Korea, North 	 $       1,200,000,000 	 2003 est.
129 	 Tajikistan 	 $       1,130,000,000 	 2004 est.
130 	 Cyprus 	 $       1,094,000,000 	 2004 est.
131 	 Liberia 	 $       1,079,000,000 	 2002 est.
132 	 Moldova 	 $       1,030,000,000 	 2004 est.
133 	 Mali 	 $        915,000,000 	 2002 est.
134 	 Georgia 	 $        909,400,000 	 2004 est.
135 	 Swaziland 	 $        900,100,000 	 2004 est.
136 	 Bermuda 	 $        879,000,000 	 2002
137 	 Madagascar 	 $        868,200,000 	 2004 est.
138 	 Mongolia 	 $        853,000,000 	 2004 est.
139 	 Armenia 	 $        850,000,000 	 2004 est.
140 	 Nicaragua 	 $        750,000,000 	 2004 est.
141 	 Benin 	 $        720,900,000 	 2004 est.
142 	 Guinea 	 $        709,200,000 	 2004 est.
143 	 Mozambique 	 $        689,400,000 	 2004 est.
