This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - consumption(cu m) 	 Date of Information
1 	 World 	   2,599,000,000,000 	 2001 est.
2 	 United States 	    640,900,000,000 	 2001 est.
3 	 European Union 	    467,700,000,000 	 2001
4 	 Russia 	    405,800,000,000 	 2003 est.
5 	 Germany 	     99,550,000,000 	 2003
6 	 United Kingdom 	     92,850,000,000 	 2001 est.
7 	 Japan 	     80,420,000,000 	 2001 est.
8 	 Ukraine 	     79,860,000,000 	 2003 est.
9 	 Iran 	     72,400,000,000 	 2003 est.
10 	 Italy 	     71,180,000,000 	 2001 est.
11 	 Saudi Arabia 	     56,400,000,000 	 2002
12 	 Canada 	     55,800,000,000 	 2003 est.
13 	 Indonesia 	     55,300,000,000 	 2003 est.
14 	 Mexico 	     55,100,000,000 	 2004 est.
15 	 Netherlands 	     49,720,000,000 	 2001 est.
16 	 Uzbekistan 	     45,200,000,000 	 2001 est.
17 	 France 	     42,010,000,000 	 2001 est.
18 	 United Arab Emirates 	     33,700,000,000 	 2003 est.
19 	 Bahrain 	     32,700,000,000 	 2002 est.
20 	 Malaysia 	     31,250,000,000 	 2001 est.
21 	 Argentina 	     31,100,000,000 	 2001 est.
22 	 Venezuela 	     29,400,000,000 	 2003 est.
23 	 China 	     29,180,000,000 	 2002 est.
24 	 Thailand 	     23,930,000,000 	 2001 est.
25 	 Pakistan 	     23,400,000,000 	 2001 est.
26 	 Australia 	     23,330,000,000 	 2001 est.
27 	 India 	     22,750,000,000 	 2001 est.
28 	 Algeria 	     22,320,000,000 	 2001 est.
29 	 Egypt 	     21,200,000,000 	 2001 est.
30 	 Korea, South 	     20,920,000,000 	 2003 est.
31 	 Belarus 	     18,800,000,000 	 2004 est.
32 	 Romania 	     18,500,000,000 	 2003 est.
33 	 Spain 	     17,960,000,000 	 2001 est.
34 	 Turkey 	     15,940,000,000 	 2001 est.
35 	 Qatar 	     15,860,000,000 	 2001 est.
36 	 Belgium 	     15,500,000,000 	 2001 est.
37 	 Kazakhstan 	     14,300,000,000 	 2001 est.
38 	 Poland 	     13,850,000,000 	 2001 est.
39 	 Trinidad and Tobago 	     13,760,000,000 	 2003 est.
40 	 Hungary 	     13,370,000,000 	 2001 est.
41 	 Bangladesh 	      9,900,000,000 	 2001 est.
42 	 Czech Republic 	      9,892,000,000 	 2001 est.
43 	 Turkmenistan 	      9,600,000,000 	 2001 est.
44 	 Brazil 	      9,590,000,000 	 2001 est.
45 	 Kuwait 	      8,700,000,000 	 2002 est.
46 	 Nigeria 	      7,850,000,000 	 2001 est.
47 	 Austria 	      7,810,000,000 	 2001 est.
48 	 Slovakia 	      6,800,000,000 	 2003 est.
49 	 Azerbaijan 	      6,720,000,000 	 2001 est.
50 	 Taiwan 	      6,640,000,000 	 2001 est.
51 	 Chile 	      6,517,000,000 	 2002 est.
52 	 New Zealand 	      6,504,000,000 	 2001 est.
53 	 Oman 	      6,340,000,000 	 2001 est.
54 	 Syria 	      5,840,000,000 	 2001 est.
55 	 Bulgaria 	      5,804,000,000 	 2001 est.
56 	 Colombia 	      5,700,000,000 	 2001 est.
57 	 Libya 	      5,410,000,000 	 2001 est.
58 	 Denmark 	      5,280,000,000 	 2001 est.
59 	 Finland 	      4,557,000,000 	 2001 est.
60 	 Ireland 	      4,199,000,000 	 2001 est.
