This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Current account balance 	 Date of Information
1 	 Japan 	 $     170,200,000,000 	 2004 est.
2 	 Germany 	 $      73,590,000,000 	 2004 est.
3 	 Saudi Arabia 	 $      51,500,000,000 	 2004 est.
4 	 Russia 	 $      46,040,000,000 	 2004 est.
5 	 Switzerland 	 $      40,950,000,000 	 2004 est.
6 	 Norway 	 $      30,520,000,000 	 2004 est.
7 	 China 	 $      30,320,000,000 	 2004 est.
8 	 Canada 	 $      28,200,000,000 	 2004 est.
9 	 Korea, South 	 $      26,780,000,000 	 2004 est.
10 	 Sweden 	 $      24,080,000,000 	 2004 est.
11 	 Taiwan 	 $      21,160,000,000 	 2004 est.
12 	 Netherlands 	 $      19,900,000,000 	 2004 est.
13 	 Hong Kong 	 $      14,850,000,000 	 2004 est.
14 	 Venezuela 	 $      14,590,000,000 	 2004 est.
15 	 Kuwait 	 $      12,040,000,000 	 2004 est.
16 	 Algeria 	 $      11,900,000,000 	 2004 est.
17 	 Malaysia 	 $      11,810,000,000 	 2004 est.
18 	 Belgium 	 $      11,400,000,000 	 2004 est.
19 	 Finland 	 $      11,390,000,000 	 2004 est.
20 	 Libya 	 $       9,895,000,000 	 2004 est.
21 	 Singapore 	 $       8,800,000,000 	 2004 est.
22 	 Brazil 	 $       8,000,000,000 	 2004 est.
23 	 Indonesia 	 $       7,338,000,000 	 2004 est.
24 	 Thailand 	 $       6,736,000,000 	 2004 est.
25 	 Denmark 	 $       6,529,000,000 	 2004 est.
26 	 United Arab Emirates 	 $       6,300,000,000 	 2004 est.
27 	 Argentina 	 $       5,473,000,000 	 2004 est.
28 	 Nigeria 	 $       5,228,000,000 	 2004 est.
29 	 Qatar 	 $       5,187,000,000 	 2004 est.
30 	 India 	 $       4,897,000,000 	 2004 est.
31 	 Ukraine 	 $       4,584,000,000 	 2004 est.
32 	 Philippines 	 $       3,600,000,000 	 2004 est.
33 	 Oman 	 $       2,674,000,000 	 2004 est.
