This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange and gold 	 Date of Information
1 	 Japan 	 $     664,600,000,000 	 2003
2 	 China 	 $     609,900,000,000 	 2004 est.
3 	 Taiwan 	 $     246,500,000,000 	 2004 est.
4 	 Korea, South 	 $     199,100,000,000 	 2004 est.
5 	 India 	 $     126,000,000,000 	 2004 est.
6 	 Russia 	 $     124,500,000,000 	 3 December 2004 est.
7 	 Hong Kong 	 $     123,600,000,000 	 31 December 2004 est.
8 	 Singapore 	 $     112,800,000,000 	 2004 est.
9 	 Germany 	 $      96,840,000,000 	 2003
10 	 United States 	 $      85,940,000,000 	 2003
11 	 France 	 $      70,760,000,000 	 2003
12 	 Switzerland 	 $      69,580,000,000 	 2003
13 	 Italy 	 $      61,500,000,000 	 2004 est.
14 	 Mexico 	 $      60,670,000,000 	 2004 est.
15 	 Malaysia 	 $      55,270,000,000 	 2004 est.
16 	 Brazil 	 $      52,940,000,000 	 2004 est.
17 	 United Kingdom 	 $      48,730,000,000 	 2004
18 	 Thailand 	 $      48,300,000,000 	 2004
19 	 Algeria 	 $      43,550,000,000 	 2004 est.
20 	 Poland 	 $      41,880,000,000 	 2004 est.
21 	 Denmark 	 $      37,980,000,000 	 2003
22 	 Turkey 	 $      37,100,000,000 	 2004 est.
23 	 Canada 	 $      36,270,000,000 	 2003
24 	 Indonesia 	 $      35,820,000,000 	 2004 est.
25 	 Australia 	 $      35,140,000,000 	 2004 est.
26 	 Czech Republic 	 $      32,780,000,000 	 2004 est.
27 	 Iran 	 $      29,870,000,000 	 2004 est.
28 	 Israel 	 $      28,480,000,000 	 2004 est.
29 	 Venezuela 	 $      25,750,000,000 	 2004 est.
30 	 Libya 	 $      24,180,000,000 	 2004 est.
31 	 Saudi Arabia 	 $      23,620,000,000 	 2004 est.
32 	 Netherlands 	 $      21,440,000,000 	 2003
33 	 Sweden 	 $      19,990,000,000 	 2003
34 	 Spain 	 $      19,700,000,000 	 2004 est.
35 	 Argentina 	 $      19,470,000,000 	 2004 est.
36 	 United Arab Emirates 	 $      18,640,000,000 	 2004 est.
37 	 Lebanon 	 $      16,300,000,000 	 2004 est.
38 	 Romania 	 $      16,210,000,000 	 2004
39 	 Philippines 	 $      16,050,000,000 	 2004
40 	 Chile 	 $      16,020,000,000 	 2004
41 	 Morocco 	 $      15,140,000,000 	 2004 est.
42 	 Slovakia 	 $      14,910,000,000 	 2004 est.
43 	 Hungary 	 $      14,800,000,000 	 2004 est.
44 	 Nigeria 	 $      14,710,000,000 	 2004 est.
45 	 Belgium 	 $      14,450,000,000 	 2003
46 	 Kazakhstan 	 $      14,350,000,000 	 2004 est.
