1	Sierra Leone	          42.00
2	Macau	          17.60
3	Maldives	          14.00
4	Solomon Islands	          14.00
5	Guyana	          13.50
6	Kyrgyzstan	          12.00
7	Congo, Democratic Republic of the	          12.00
8	Bosnia and Herzegovina	          11.70
9	Burma	          11.40
10	Mongolia	          11.00
11	Sudan	          11.00
12	Laos	          11.00
13	Ghana	          10.50
14	Chad	          10.00
15	Sri Lanka	          10.00
16	Libya	           9.60
17	Cambodia	           9.50
18	Panama	           9.20
19	Philippines	           9.00
20	Bangladesh	           9.00
21	Ethiopia	           9.00
22	Djibouti	           8.00
23	Mauritania	           8.00
24	Mozambique	           8.00
25	Zambia	           8.00
26	Romania	           8.00
27	Turkmenistan	           8.00
28	New Caledonia	           8.00
29	China	           7.60
30	Tanzania	           7.40
31	Botswana	           7.20
32	Uzbekistan	           7.10
33	Mali	           7.00
34	Cote d'Ivoire	           7.00
35	Bhutan	           7.00
36	Eritrea	           7.00
37	Iraq	           6.90
38	Moldova	           6.80
39	Uruguay	           6.60
40	Slovakia	           6.50
41	Burkina Faso	           6.50
42	Timor-Leste	           6.20
43	Rwanda	           6.00
44	Haiti	           6.00
45	Niger	           5.70
46	Bolivia	           5.60
47	Paraguay	           5.60
48	Namibia	           5.60
49	Serbia	           5.50
50	Angola	           5.50
51	Papua New Guinea	           5.50
52	Israel	           5.50
53	Poland	           5.20
54	Togo	           5.10
55	Kenya	           5.10
56	Vietnam	           5.00
57	Malaysia	           5.00
58	Peru	           5.00
59	Vanuatu	           4.80
60	Yemen	           4.80
61	Bahrain	           4.70
62	Honduras	           4.60
63	Guinea	           4.60
64	Burundi	           4.50
65	Gabon	           4.40
66	Costa Rica	           4.30
67	Indonesia	           4.30
68	Lesotho	           4.30
69	Latvia	           4.20
70	Cameroon	           4.10
71	Kuwait	           4.10
72	Sao Tome and Principe	           4.00
73	Madagascar	           4.00
74	Suriname	           4.00
75	Comoros	           4.00
76	Armenia	           3.90
77	Tajikistan	           3.90
78	Uganda	           3.80
79	Benin	           3.70
80	Guatemala	           3.70
81	Seychelles	           3.70
82	Zimbabwe	           3.70
83	Mexico	           3.50
84	Turkey	           3.50
85	Oman	           3.50
86	Pakistan	           3.50
87	Gambia, The	           3.40
88	Faroe Islands	           3.40
89	United Arab Emirates	           3.30
90	Equatorial Guinea	           3.20
91	Australia	           3.20
92	Macedonia	           3.20
93	Albania	           3.10
94	Ecuador	           3.10
95	Lebanon	           3.00
96	Georgia	           3.00
97	Estonia	           3.00
98	Chile	           3.00
99	Brazil	           3.00
100	Azerbaijan	           3.00
101	West Bank	           3.00
102	Saint Vincent and the Grenadines	           3.00
103	British Virgin Islands	           3.00
104	Tunisia	           3.00
105	Turks and Caicos Islands	           3.00
106	Senegal	           3.00
107	Nicaragua	           3.00
108	Qatar	           2.90
109	Jordan	           2.80
110	Malawi	           2.80
111	Saudi Arabia	           2.70
112	Argentina	           2.70
113	Saint Lucia	           2.60
114	Cuba	           2.60
115	United States	           2.50
116	Algeria	           2.50
117	Colombia	           2.50
118	Dominican Republic	           2.50
119	Fiji	           2.50
120	Korea, South	           2.50
121	Switzerland	           2.20
122	Kazakhstan	           2.10
123	El Salvador	           2.10
124	Congo, Republic of the	           2.00
125	Montserrat	           2.00
126	Lithuania	           2.00
127	Anguilla	           2.00
128	New Zealand	           1.90
129	Taiwan	           1.80
130	Cabo Verde	           1.80
131	Hungary	           1.80
132	Singapore	           1.70
133	Bahamas, The	           1.50
134	Cayman Islands	           1.50
135	Brunei	           1.50
136	Nepal	           1.50
137	Jamaica	           1.50
138	Egypt	           1.40
139	Canada	           1.40
140	Guinea-Bissau	           1.20
141	Morocco	           1.20
142	Trinidad and Tobago	           1.20
143	Denmark	           1.10
144	Tonga	           1.00
145	Japan	           1.00
146	Cook Islands	           1.00
147	Bulgaria	           1.00
148	Belarus	           1.00
149	Bermuda	           1.00
150	Venezuela	           1.00
151	Antigua and Barbuda	           1.00
152	India	           0.90
153	Nigeria	           0.90
154	South Africa	           0.90
155	Czech Republic	           0.50
156	Puerto Rico	           0.50
157	Korea, North	           0.50
158	Austria	           0.50
159	Netherlands	           0.50
160	Saint Kitts and Nevis	           0.50
161	Swaziland	           0.40
162	Ireland	           0.20
163	Belgium	           0.20
164	Mauritius	           0.20
165	Russia	           0.10
166	Hong Kong	           0.00
167	Germany	          -0.30
168	European Union	          -0.30
169	United Kingdom	          -0.30
170	France	          -0.40
171	Slovenia	          -0.60
172	Barbados	          -0.70
173	Belize	          -1.00
174	Portugal	          -1.00
175	Sweden	          -1.00
176	Dominica	          -1.00
177	Luxembourg	          -1.00
178	Iceland	          -1.00
179	San Marino	          -1.10
180	Spain	          -1.20
181	Croatia	          -1.80
182	Grenada	          -2.00
183	Italy	          -2.70
184	Norway	          -3.00
185	Thailand	          -3.10
186	Greece	          -3.50
187	Cyprus	          -3.50
188	Finland	          -4.20
189	Samoa	          -4.80
190	Ukraine	          -5.00
191	Iran	          -5.20
192	Malta	          -6.90
193	Central African Republic	         -11.00
194	Syria	         -20.60
