X,Y,OBJECTID,ID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,DATECREATE
-90.179445588999954,32.314756398000036,4001,0,MS BAPTIST MEDICAL CENTER,1225 NORTH STATE STREET,NOT AVAILABLE,JACKSON,MS,39202,NOT AVAILABLE,(601) 968-1000,GENERAL ACUTE CARE,OPEN,638,HINDS,28049,USA,32.314756398,-90.179445589,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.mbhs.org,License #14-281,NOT AVAILABLE,28,NON-PROFIT,-999,638,IV,NOT AVAILABLE,2013-03-27T00:00:00.000Z
-90.17903678,32.315262586000067,4002,1,MS HOSPITAL FOR RESTORATIVE CARE,1225 NORTH STATE STREET,NOT AVAILABLE,JACKSON,MS,39202,NOT AVAILABLE,(601) 973-1660,LONG TERM CARE,OPEN,20,HINDS,28049,USA,32.3152625860001,-90.17903678,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.mbhs.org,License #23-319,NOT AVAILABLE,28,NON-PROFIT,-999,25,NOT AVAILABLE,NOT AVAILABLE,2013-03-27T00:00:00.000Z
-90.164060437999979,32.332626034000043,4003,2,REGENCY HOSPITAL OF JACKSON,969 LAKELAND DRIVE,6TH FLOOR,JACKSON,MS,39216,NOT AVAILABLE,(601) 364-6200,LONG TERM CARE,OPEN,36,HINDS,28049,USA,32.332626034,-90.164060438,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.regencyhospital.com,License # 22-344,NOT AVAILABLE,28,PROPRIETARY,-999,36,NOT AVAILABLE,Y,2013-03-27T00:00:00.000Z
-90.164856665999935,32.332565786000032,4004,3,ST. DOMINIC-JACKSON MEMORIAL HOSPITAL,969 LAKELAND DRIVE,NOT AVAILABLE,JACKSON,MS,39216,NOT AVAILABLE,(601) 200-2000,GENERAL ACUTE CARE,OPEN,535,HINDS,28049,USA,32.332565786,-90.1648566659999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.stdom.com,License #14-031,NOT AVAILABLE,28,NON-PROFIT,-999,535,IV,Y,2013-03-27T00:00:00.000Z
-90.143375610999939,32.389770044000038,4005,4,SELECT SPECIALTY HOSPITAL - JACKSON,5903 RIDGEWOOD ROAD,NOT AVAILABLE,JACKSON,MS,39211,NOT AVAILABLE,(601) 899-3800,LONG TERM CARE,OPEN,53,HINDS,28049,USA,32.389770044,-90.143375611,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2013-08-30T00:00:00.000Z,http://www.selectspecialtyhospitals.com/company/locations/jackson.,License #22-331,NOT AVAILABLE,28,PROPRIETARY,-999,53,NOT AVAILABLE,NOT AVAILABLE,2013-03-27T00:00:00.000Z
-90.172238390999937,32.328353209000049,4006,5,MS METHODIST REHABILITATION CENTER,1350 EAST WOODROW WILSON DRIVE,NOT AVAILABLE,JACKSON,MS,39216,NOT AVAILABLE,(601) 981-2611,REHABILITATION,OPEN,124,HINDS,28049,USA,32.3283532090001,-90.172238391,622210,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.methodistrehab.org,License #43-278,NOT AVAILABLE,28,NON-PROFIT,-999,124,NOT AVAILABLE,NOT AVAILABLE,2013-03-27T00:00:00.000Z
-90.173146079999981,32.329472280000054,4007,6,UNIVERSITY HOSPITAL AND CLINICS - THE UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,2500 NORTH STATE STREET,NOT AVAILABLE,JACKSON,MS,39216,NOT AVAILABLE,(601) 984-4100,GENERAL ACUTE CARE,OPEN,697,HINDS,28049,USA,32.3294722800001,-90.17314608,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.umc.edu,License #11-199,NOT AVAILABLE,28,GOVERNMENT - STATE,-999,697,I,Y,2013-03-27T00:00:00.000Z
-89.518849468999974,32.741150392000058,4008,7,BAPTIST MEDICAL CENTER LEAKE,310 ELLIS STREET,NOT AVAILABLE,CARTHAGE,MS,39051,NOT AVAILABLE,(601) 267-1100,CRITICAL ACCESS,OPEN,25,LEAKE,28079,USA,32.7411503920001,-89.518849469,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.mbhs.com/locations/baptist-medical-center-leake/,License #13-187,LEAKE MEMORIAL HOSPITAL,28,NON-PROFIT,-999,25,IV,NOT AVAILABLE,2013-03-27T00:00:00.000Z
-88.699063939999974,32.368068261000076,4009,8,REGENCY HOSPITAL OF MERIDIAN,1102 CONSTITUTION AVE.,2ND FLOOR,MERIDIAN,MS,39301,NOT AVAILABLE,(601) 484-7900,LONG TERM CARE,OPEN,40,LAUDERDALE,28075,USA,32.3680682610001,-88.69906394,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.regencyhospital.com,License #22-332,NOT AVAILABLE,28,PROPRIETARY,-999,40,NOT AVAILABLE,Y,2013-03-27T00:00:00.000Z
-88.699035418999983,32.36843764200006,4010,9,ANDERSON REGIONAL MEDICAL CENTER SOUTH,1102 CONSTITUTION AVENUE,NOT AVAILABLE,MERIDIAN,MS,39301,NOT AVAILABLE,(601) 484-3590,GENERAL ACUTE CARE,OPEN,69,LAUDERDALE,28075,USA,32.3684376420001,-88.699035419,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://msdh.ms.gov/msdhsite/_static/resources/6747.pdf,2016-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,www.andersonregional.org,License #13-237,RILEY HOSPITAL,28,NON-PROFIT,-999,69,IV,Y,2013-03-27T00:00:00.000Z
