Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387
Afghanistan,AFG,,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,10.59572642
Angola,AGO,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13
Albania,ALB,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447
Andorra,AND,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,96.91,97.93063712
Arab World,ARB,1.1395411227,1.5612881698,2.6930610134,3.6458807827,7.006812461,8.3931417251,11.6546479151,14.205902237,18.5935311754,21.5453538967,24.5357799041,26.6454640754,30.2744905926,32.9846785409,36.4830135817,39.8674632905,42.0268872582
United Arab Emirates,ARE,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40,52,61,63,64,68,78,84.9999915,88,90.4,90.5,90.60000732
Argentina,ARG,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.15076431
Armenia,ARM,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586,59.10237771,62
American Samoa,ASM,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,67.78,70,73
Australia,AUS,46.75611561,52.68926643,,,,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,88.23865805
Austria,AUT,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32333129
Azerbaijan,AZE,0.147757576,0.305564638,4.999713678,,,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,78.2
Burundi,BDI,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38,4.866224464,5.173626777
Belgium,BEL,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,86.5165
Benin,BEN,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6,11.25498791,11.99404791
Burkina Faso,BFA,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,11.38764617,13.96
Bangladesh,BGD,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.246938
