"average_covered_charges","average_medicare_payments","average_medicare_payments_2","drg_definition","hospital_referral_region_description","provider_city","provider_id","provider_name","provider_state","provider_street_address","provider_zip_code","total_discharges"
"32963.07","5777.24","4763.73","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Dothan","DOTHAN","10001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","1108 ROSS CLARK CIRCLE","36301","91"
"15131.85","5787.57","4976.71","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BOAZ","10005","MARSHALL MEDICAL CENTER SOUTH","AL","2505 U S HIGHWAY 431 NORTH","35957","14"
"37560.37","5434.95","4453.79","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","FLORENCE","10006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","205 MARENGO STREET","35631","24"
"13998.28","5417.56","4129.16","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BIRMINGHAM","10011","ST VINCENT'S EAST","AL","50 MEDICAL PARK EAST DRIVE","35235","25"
"31633.27","5658.33","4851.44","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","ALABASTER","10016","SHELBY BAPTIST MEDICAL CENTER","AL","1000 FIRST STREET NORTH","35007","18"
"16920.79","6653.80","5374.14","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Montgomery","MONTGOMERY","10023","BAPTIST MEDICAL CENTER SOUTH","AL","2105 EAST SOUTH BOULEVARD","36116","67"
"11977.13","5834.74","4761.41","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","OPELIKA","10029","EAST ALABAMA MEDICAL CENTER AND SNF","AL","2000 PEPPERELL PARKWAY","36801","51"
"35841.09","8031.12","5858.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BIRMINGHAM","10033","UNIVERSITY OF ALABAMA HOSPITAL","AL","619 SOUTH 19TH STREET","35233","32"
"28523.39","6113.38","5228.4","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Huntsville","HUNTSVILLE","10039","HUNTSVILLE HOSPITAL","AL","101 SIVLEY RD","35801","135"
"75233.38","5541.05","4386.94","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","GADSDEN","10040","GADSDEN REGIONAL MEDICAL CENTER","AL","1007 GOODYEAR AVENUE","35903","34"
"67327.92","5461.57","4493.57","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","GADSDEN","10046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","600 SOUTH THIRD STREET","35901","14"
"39607.28","5356.28","4408.2","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Dothan","DOTHAN","10055","FLOWERS HOSPITAL","AL","4370 WEST MAIN STREET","36305","45"
"22862.23","5374.65","4186.02","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BIRMINGHAM","10056","ST VINCENT'S BIRMINGHAM","AL","810 ST VINCENT'S DRIVE","35205","43"
"31110.85","5366.23","4376.23","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","ANNISTON","10078","NORTHEAST ALABAMA REGIONAL MED CENTER","AL","400 EAST 10TH STREET","36207","21"
"25411.33","5282.93","4383.73","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Mobile","FOLEY","10083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","AL","1613 NORTH MCKENZIE STREET","36535","15"
"9234.51","5676.55","4509.11","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Huntsville","DECATUR","10085","DECATUR GENERAL HOSPITAL","AL","1201 7TH STREET SE","35609","27"
"15895.85","5930.11","3972.85","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Mobile","MOBILE","10090","PROVIDENCE HOSPITAL","AL","6801 AIRPORT BOULEVARD","36608","27"
"19721.16","6192.54","5179.38","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Tuscaloosa","TUSCALOOSA","10092","D C H REGIONAL MEDICAL CENTER","AL","809 UNIVERSITY BOULEVARD EAST","35401","31"
